source_id,source_page,section,formula,compound_name,dielectric,t_C,T_K,alpha_1e5,alpha_kind,valid_range_C,references,frequency_note,source_quality,eligibility_status,notes,raw_line
nbs514:p13:001,13,C. ORGANIC LIQUIDS,CCl2O,Phosgene,4.34,22,295.15,,,,52,,two_or_less,candidate_near_room,,CCl2O Phosgene | e=4.34 | t=22 C | alpha=- | range=- | refs=52
nbs514:p18:005,18,C. ORGANIC LIQUIDS,C3H6O,2-Propen-1-ol (Allyl alcohol),21.6,15,288.15,,,,"4 [7,27]",,three_figures,candidate_near_room,,"C3H6O 2-Propen-1-ol (Allyl alcohol) | e=21.6 | t=15 C | alpha=- | range=- | refs=4 [7,27]"
nbs514:p18:006,18,C. ORGANIC LIQUIDS,C3H6O,Acetone,20.70,25,298.15,205.000,alpha,"-60,40","156,185,240,274 [112,207]",,four_figures,candidate_near_room,,"C3H6O Acetone | e=20.70 | t=25 C | alpha=0.205(alpha) | range=-60,40 | refs=156,185,240,274 [112,207]"
nbs514:p18:007,18,C. ORGANIC LIQUIDS,C3H6O,Propionaldehyde,18.5,17,290.15,,,,7 [4],f=4x10^8 cycles/sec,three_figures,candidate_near_room,,C3H6O Propionaldehyde | e=18.5 | t=17 C | alpha=- | range=- | refs=7 [4]
nbs514:p18:008,18,C. ORGANIC LIQUIDS,C3H6O2,Ethyl formate,7.16,25,298.15,,,,"160 [1,7]",,two_or_less,candidate_near_room,,"C3H6O2 Ethyl formate | e=7.16 | t=25 C | alpha=- | range=- | refs=160 [1,7]"
nbs514:p18:009,18,C. ORGANIC LIQUIDS,C3H6O2,Methyl acetate,6.68,25,298.15,2200.0,a,"25,40","63,260",,three_figures,candidate_near_room,,"C3H6O2 Methyl acetate | e=6.68 | t=25 C | alpha=2.2 | range=25,40 | refs=63,260"
nbs514:p18:010,18,C. ORGANIC LIQUIDS,C3H6O3,dl-Lactic acid,22.,17,290.15,,,,"4,8 [7]",,two_or_less,candidate_near_room,,"C3H6O3 dl-Lactic acid | e=22. | t=17 C | alpha=- | range=- | refs=4,8 [7]"
nbs514:p18:011,18,C. ORGANIC LIQUIDS,C3H7Br,1-Bromopropane,8.09,25,298.15,3350.00,a,"1,55",272,,three_figures,candidate_near_room,,"C3H7Br 1-Bromopropane | e=8.09 | t=25 C | alpha=3.35 | range=1,55 | refs=272"
nbs514:p18:012,18,C. ORGANIC LIQUIDS,C3H7Br,2-Bromopropane,9.46,25,298.15,4400.00,a,"1,55",272,,three_figures,candidate_near_room,,"C3H7Br 2-Bromopropane | e=9.46 | t=25 C | alpha=4.40 | range=1,55 | refs=272"
nbs514:p18:013,18,C. ORGANIC LIQUIDS,C3H7Cl,1-Chloropropane,7.7,20,293.15,,,,27,f=5x10^8 cycles/sec,two_or_less,candidate_near_room,,C3H7Cl 1-Chloropropane | e=7.7 | t=20 C | alpha=- | range=- | refs=27
nbs514:p18:014,18,C. ORGANIC LIQUIDS,C3H7ClO2,"3-Chloro-1,2-propanediol",31.,19,292.15,,,,26,,two_or_less,candidate_near_room,,"C3H7ClO2 3-Chloro-1,2-propanediol | e=31. | t=19 C | alpha=- | range=- | refs=26"
nbs514:p18:015,18,C. ORGANIC LIQUIDS,C3H7I,1-Iodopropane,7.00,20,293.15,,,,242,,three_figures,candidate_near_room,,C3H7I 1-Iodopropane | e=7.00 | t=20 C | alpha=- | range=- | refs=242
nbs514:p18:016,18,C. ORGANIC LIQUIDS,C3H7I,2-Iodopropane,8.19,20,293.15,,,,242,,three_figures,candidate_near_room,,C3H7I 2-Iodopropane | e=8.19 | t=20 C | alpha=- | range=- | refs=242
nbs514:p18:017,18,C. ORGANIC LIQUIDS,C3H7NO2,1-Nitropropane,23.24,30,303.15,10100.0,a,"30,35",295,,three_figures,candidate_near_room,,"C3H7NO2 1-Nitropropane | e=23.24 | t=30 C | alpha=10.1 | range=30,35 | refs=295"
nbs514:p18:018,18,C. ORGANIC LIQUIDS,C3H7NO2,2-Nitropropane,25.52,30,303.15,10900.0,a,"30,35",295,,three_figures,candidate_near_room,,"C3H7NO2 2-Nitropropane | e=25.52 | t=30 C | alpha=10.9 | range=30,35 | refs=295"
nbs514:p18:019,18,C. ORGANIC LIQUIDS,C3H7NO2,Isopropyl nitrite,12.,19,292.15,,,,14,f=3.6x10^8 cycles/sec,two_or_less,candidate_near_room,,C3H7NO2 Isopropyl nitrite | e=12. | t=19 C | alpha=- | range=- | refs=14
nbs514:p18:020,18,C. ORGANIC LIQUIDS,C3H7NO3,Propyl nitrate,13.9,18,291.15,,,,14,f=3.6x10^8 cycles/sec,three_figures,candidate_near_room,,C3H7NO3 Propyl nitrate | e=13.9 | t=18 C | alpha=- | range=- | refs=14
nbs514:p18:021,18,C. ORGANIC LIQUIDS,C3H8O,1-Propanol,20.1,25,298.15,293.000,alpha,"20,90","112,222,279 [41,51,157,177]",,three_figures,candidate_near_room,,"C3H8O 1-Propanol | e=20.1 | t=25 C | alpha=0.293(alpha) | range=20,90 | refs=112,222,279 [41,51,157,177]"
nbs514:p18:022,18,C. ORGANIC LIQUIDS,C3H8O,2-Propanol,18.3,25,298.15,310.000,alpha,"20,70","112,222 [157]",,three_figures,candidate_near_room,,"C3H8O 2-Propanol | e=18.3 | t=25 C | alpha=0.310(alpha) | range=20,70 | refs=112,222 [157]"
nbs514:p19:001,19,C. ORGANIC LIQUIDS,C3H8O2,"1,2-Propanediol",32.0,20,293.15,270.00,alpha,at 20,232 [142],,three_figures,candidate_near_room,,"C3H8O2 1,2-Propanediol | e=32.0 | t=20 C | alpha=0.27(alpha) | range=at 20 | refs=232 [142]"
nbs514:p19:002,19,C. ORGANIC LIQUIDS,C3H8O2,"1,3-Propanediol",35.0,20,293.15,230.00,alpha,at 20,232,,three_figures,candidate_near_room,,"C3H8O2 1,3-Propanediol | e=35.0 | t=20 C | alpha=0.23(alpha) | range=at 20 | refs=232"
nbs514:p19:003,19,C. ORGANIC LIQUIDS,C3H8O2,2-Methoxyethanol,16.0,30,303.15,,,,261 [115],,three_figures,candidate_near_room,,C3H8O2 2-Methoxyethanol | e=16.0 | t=30 C | alpha=- | range=- | refs=261 [115]
nbs514:p19:004,19,C. ORGANIC LIQUIDS,C3H8O2,Dimethoxymethane (Methylal),2.7,20,293.15,,,,17,f=4x10^8 cycles/sec,two_or_less,candidate_near_room,,C3H8O2 Dimethoxymethane (Methylal) | e=2.7 | t=20 C | alpha=- | range=- | refs=17
nbs514:p19:005,19,C. ORGANIC LIQUIDS,C3H8O3,Glycerol,42.5,25,298.15,203.000,alpha,"0,100","40,112,185 [38,103,142,177]",,three_figures,candidate_near_room,,"C3H8O3 Glycerol | e=42.5 | t=25 C | alpha=0.203(alpha) | range=0,100 | refs=40,112,185 [38,103,142,177]"
nbs514:p19:006,19,C. ORGANIC LIQUIDS,C3H9BO3,Trimethylborate,8.0,20,293.15,,,,17,f=4x10^8 cycles/sec,two_or_less,candidate_near_room,,C3H9BO3 Trimethylborate | e=8.0 | t=20 C | alpha=- | range=- | refs=17
nbs514:p19:007,19,C. ORGANIC LIQUIDS,C3H9N,Isopropylamine,5.5,20,293.15,,,,14,f=3.6x10^8 cycles/sec,two_or_less,candidate_near_room,,C3H9N Isopropylamine | e=5.5 | t=20 C | alpha=- | range=- | refs=14
nbs514:p19:008,19,C. ORGANIC LIQUIDS,C3H9N,Trimethylamine,2.44,25,298.15,520.00,a,"0,25",268 [14],,three_figures,candidate_near_room,,"C3H9N Trimethylamine | e=2.44 | t=25 C | alpha=0.52 | range=0,25 | refs=268 [14]"
nbs514:p19:009,19,C. ORGANIC LIQUIDS,C4Cl6,"Hexachloro-1,3-butadiene",2.55,25,298.15,,,,279,,three_figures,candidate_near_room,,"C4Cl6 Hexachloro-1,3-butadiene | e=2.55 | t=25 C | alpha=- | range=- | refs=279"
nbs514:p19:010,19,C. ORGANIC LIQUIDS,C4H4O,Furan,2.95,25,298.15,,,,121,,three_figures,candidate_near_room,,C4H4O Furan | e=2.95 | t=25 C | alpha=- | range=- | refs=121
nbs514:p19:011,19,C. ORGANIC LIQUIDS,C4H4S,Thiophene,2.76,16,289.15,,,,"12,283 [18]",,three_figures,candidate_near_room,,"C4H4S Thiophene | e=2.76 | t=16 C | alpha=- | range=- | refs=12,283 [18]"
nbs514:p19:012,19,C. ORGANIC LIQUIDS,C4H5Cl3O,"alpha,alpha,alpha-Trichlorobutyraldehyde (Butyl chloral)",10.0,18,291.15,,,,27,f=5x10^8 cycles/sec,three_figures,candidate_near_room,,"C4H5Cl3O alpha,alpha,alpha-Trichlorobutyraldehyde (Butyl chloral) | e=10.0 | t=18 C | alpha=- | range=- | refs=27"
nbs514:p19:013,19,C. ORGANIC LIQUIDS,C4H5Cl3O2,Ethyl trichloroacetate,7.8,20,293.15,2800.0,a,"2,60",26,,two_or_less,candidate_near_room,,"C4H5Cl3O2 Ethyl trichloroacetate | e=7.8 | t=20 C | alpha=2.8 | range=2,60 | refs=26"
nbs514:p19:014,19,C. ORGANIC LIQUIDS,C4H5N,Crotononitrile (bp 108 C),36.1,20,293.15,,,,48,,three_figures,candidate_exception,temperature printed as ca 20 C,C4H5N Crotononitrile (bp 108 C) | e=36.1 | t=ca 20 C | alpha=- | range=- | refs=48
nbs514:p19:015,19,C. ORGANIC LIQUIDS,C4H5N,Crotononitrile (bp 122 C),28.1,20,293.15,,,,48,,three_figures,candidate_exception,temperature printed as ca 20 C,C4H5N Crotononitrile (bp 122 C) | e=28.1 | t=ca 20 C | alpha=- | range=- | refs=48
nbs514:p19:016,19,C. ORGANIC LIQUIDS,C4H5N,Pyrrole,7.48,18,291.15,,,,171,,three_figures,candidate_near_room,,C4H5N Pyrrole | e=7.48 | t=18 C | alpha=- | range=- | refs=171
nbs514:p19:017,19,C. ORGANIC LIQUIDS,C4H5NO2,Methyl cyanoacetate,28.8,20,293.15,,,,17,f=4x10^8 cycles/sec,three_figures,candidate_near_room,,C4H5NO2 Methyl cyanoacetate | e=28.8 | t=20 C | alpha=- | range=- | refs=17
nbs514:p19:018,19,C. ORGANIC LIQUIDS,C4H5NS,Allyl isothiocyanate,17.2,18,291.15,,,,"18,22",f=3.6x10^8 cycles/sec,three_figures,candidate_near_room,,"C4H5NS Allyl isothiocyanate | e=17.2 | t=18 C | alpha=- | range=- | refs=18,22"
nbs514:p19:019,19,C. ORGANIC LIQUIDS,C4H6Cl2O2,Ethyl dichloroacetate,10.3,22,295.15,,,,26,,three_figures,candidate_near_room,,C4H6Cl2O2 Ethyl dichloroacetate | e=10.3 | t=22 C | alpha=- | range=- | refs=26
nbs514:p19:020,19,C. ORGANIC LIQUIDS,C4H6O,Vinyl ether,3.94,20,293.15,,,,121,,three_figures,candidate_near_room,,C4H6O Vinyl ether | e=3.94 | t=20 C | alpha=- | range=- | refs=121
nbs514:p19:021,19,C. ORGANIC LIQUIDS,C4H6O,Ethoxyacetylene,8.05,25,298.15,,,,257,,three_figures,candidate_near_room,,C4H6O Ethoxyacetylene | e=8.05 | t=25 C | alpha=- | range=- | refs=257
nbs514:p19:022,19,C. ORGANIC LIQUIDS,C4H6O3,Acetic anhydride,20.7,19,292.15,,,,"26 [17,27,166]",,three_figures,candidate_near_room,,"C4H6O3 Acetic anhydride | e=20.7 | t=19 C | alpha=- | range=- | refs=26 [17,27,166]"
nbs514:p20:001,20,C. ORGANIC LIQUIDS,C4H7Br,1-Bromo-1-butene (bp 95 C),5.89,20,293.15,,,,48,,two_or_less,candidate_exception,temperature printed as ca 20 C,C4H7Br 1-Bromo-1-butene (bp 95 C) | e=5.89 | t=ca 20 C | alpha=- | range=- | refs=48
nbs514:p20:002,20,C. ORGANIC LIQUIDS,C4H7Br,1-Bromo-1-butene (bp 86 C),5.05,20,293.15,,,,48,,two_or_less,candidate_exception,temperature printed as ca 20 C,C4H7Br 1-Bromo-1-butene (bp 86 C) | e=5.05 | t=ca 20 C | alpha=- | range=- | refs=48
nbs514:p20:003,20,C. ORGANIC LIQUIDS,C4H7Br,2-Bromo-2-butene,6.76,20,293.15,,,,48,,two_or_less,candidate_exception,source footnote identifies Br and CH3 trans; temperature printed as ca 20 C,C4H7Br 2-Bromo-2-butene | e=6.76 | t=ca 20 C | alpha=- | range=- | refs=48
nbs514:p20:004,20,C. ORGANIC LIQUIDS,C4H7Br,2-Bromo-2-butene,5.38,20,293.15,,,,48,,two_or_less,candidate_exception,source footnote identifies Br and CH3 cis; temperature printed as ca 20 C,C4H7Br 2-Bromo-2-butene | e=5.38 | t=ca 20 C | alpha=- | range=- | refs=48
nbs514:p20:005,20,C. ORGANIC LIQUIDS,C4H7BrO2,alpha-Bromobutyric acid,7.2,20,293.15,,,,27,f=5x10^8 cycles/sec,two_or_less,candidate_near_room,,C4H7BrO2 alpha-Bromobutyric acid | e=7.2 | t=20 C | alpha=- | range=- | refs=27
nbs514:p20:006,20,C. ORGANIC LIQUIDS,C4H7ClO2,Propyl chloroformate,11.2,20,293.15,,,,27,f=5x10^8 cycles/sec,three_figures,candidate_near_room,,C4H7ClO2 Propyl chloroformate | e=11.2 | t=20 C | alpha=- | range=- | refs=27
nbs514:p20:007,20,C. ORGANIC LIQUIDS,C4H7ClO2,Ethyl chloroacetate,11.4,21,294.15,,,,27,f=5x10^8 cycles/sec,three_figures,candidate_near_room,,C4H7ClO2 Ethyl chloroacetate | e=11.4 | t=21 C | alpha=- | range=- | refs=27
nbs514:p20:008,20,C. ORGANIC LIQUIDS,C4H7N,Butyronitrile,20.3,21,294.15,,,,13,f=3.6x10^8 cycles/sec,three_figures,candidate_near_room,,C4H7N Butyronitrile | e=20.3 | t=21 C | alpha=- | range=- | refs=13
nbs514:p20:009,20,C. ORGANIC LIQUIDS,C4H7N,Isobutyronitrile,20.4,24,297.15,,,,13,f=3.6x10^8 cycles/sec,three_figures,candidate_near_room,,C4H7N Isobutyronitrile | e=20.4 | t=24 C | alpha=- | range=- | refs=13
nbs514:p20:010,20,C. ORGANIC LIQUIDS,C4H8Br2,"meso-2,3-Dibromobutane",6.245,25,298.15,,,,238 [184],,three_figures,candidate_near_room,,"C4H8Br2 meso-2,3-Dibromobutane | e=6.245 | t=25 C | alpha=- | range=- | refs=238 [184]"
nbs514:p20:011,20,C. ORGANIC LIQUIDS,C4H8Br2,"dl-2,3-Dibromobutane",5.758,25,298.15,,,,238 [184],,three_figures,candidate_near_room,,"C4H8Br2 dl-2,3-Dibromobutane | e=5.758 | t=25 C | alpha=- | range=- | refs=238 [184]"
nbs514:p20:012,20,C. ORGANIC LIQUIDS,C4H8Br2,"1,2-Dibromo-2-methylpropane",4.1,20,293.15,,,,27,f=5x10^8 cycles/sec,two_or_less,candidate_near_room,,"C4H8Br2 1,2-Dibromo-2-methylpropane | e=4.1 | t=20 C | alpha=- | range=- | refs=27"
nbs514:p20:013,20,C. ORGANIC LIQUIDS,C4H8Cl2,"1,4-Dichlorobutane",8.90,25,298.15,3070.00,a,"1,55",272,,three_figures,candidate_near_room,,"C4H8Cl2 1,4-Dichlorobutane | e=8.90 | t=25 C | alpha=3.07 | range=1,55 | refs=272"
nbs514:p20:014,20,C. ORGANIC LIQUIDS,C4H8Cl2,"1,2-Dichloro-2-methylpropane",7.22,20,293.15,,,,247,,three_figures,candidate_near_room,,"C4H8Cl2 1,2-Dichloro-2-methylpropane | e=7.22 | t=20 C | alpha=- | range=- | refs=247"
nbs514:p20:015,20,C. ORGANIC LIQUIDS,C4H8Cl2O,"beta,beta'-Dichlorodiethyl ether",21.2,20,293.15,,,,156,,three_figures,candidate_near_room,,"C4H8Cl2O beta,beta'-Dichlorodiethyl ether | e=21.2 | t=20 C | alpha=- | range=- | refs=156"
nbs514:p20:016,20,C. ORGANIC LIQUIDS,C4H8N2O6,"1,3-Butanediol dinitrate",18.9,20,293.15,,,,244,,two_or_less,candidate_near_room,,"C4H8N2O6 1,3-Butanediol dinitrate | e=18.9 | t=20 C | alpha=- | range=- | refs=244"
nbs514:p20:017,20,C. ORGANIC LIQUIDS,C4H8N2O6,"2,3-Butanediol dinitrate",28.8,20,293.15,,,,244,,two_or_less,candidate_near_room,,"C4H8N2O6 2,3-Butanediol dinitrate | e=28.8 | t=20 C | alpha=- | range=- | refs=244"
nbs514:p20:018,20,C. ORGANIC LIQUIDS,C4H8O,2-Butanone,18.51,20,293.15,207.000,alpha,"-60,60","240 [41,84,123]",,three_figures,candidate_near_room,,"C4H8O 2-Butanone | e=18.51 | t=20 C | alpha=0.207(alpha) | range=-60,60 | refs=240 [41,84,123]"
nbs514:p20:019,20,C. ORGANIC LIQUIDS,C4H8O,Butyraldehyde,13.4,26,299.15,,,,41,,three_figures,candidate_near_room,,C4H8O Butyraldehyde | e=13.4 | t=26 C | alpha=- | range=- | refs=41
nbs514:p20:020,20,C. ORGANIC LIQUIDS,C4H8O2,Butyric acid,2.97,20,293.15,-230.00,a,"10,70","96,149 [2,7]",,three_figures,candidate_near_room,,"C4H8O2 Butyric acid | e=2.97 | t=20 C | alpha=-0.23 | range=10,70 | refs=96,149 [2,7]"
nbs514:p20:021,20,C. ORGANIC LIQUIDS,C4H8O2,Propyl formate,7.72,19,292.15,,,,7 [1],f=4x10^8 cycles/sec,two_or_less,candidate_near_room,,C4H8O2 Propyl formate | e=7.72 | t=19 C | alpha=- | range=- | refs=7 [1]
nbs514:p20:022,20,C. ORGANIC LIQUIDS,C4H8O2,Ethyl acetate,6.02,25,298.15,1500.0,a,at 25,"8,63,276",,three_figures,candidate_near_room,,"C4H8O2 Ethyl acetate | e=6.02 | t=25 C | alpha=1.5 | range=at 25 | refs=8,63,276"
nbs514:p20:023,20,C. ORGANIC LIQUIDS,C4H8O2,Methyl propionate,5.5,19,292.15,,,,27,f=5x10^8 cycles/sec,two_or_less,candidate_near_room,,C4H8O2 Methyl propionate | e=5.5 | t=19 C | alpha=- | range=- | refs=27
nbs514:p20:024,20,C. ORGANIC LIQUIDS,C4H8O2,"1,4-Dioxane",2.209,25,298.15,170.000,a,"20,50","144,156,196,230,231,240a,258,271,276",,four_figures,candidate_near_room,,"C4H8O2 1,4-Dioxane | e=2.209 | t=25 C | alpha=0.170 | range=20,50 | refs=144,156,196,230,231,240a,258,271,276"
nbs514:p20:025,20,C. ORGANIC LIQUIDS,C4H8O3,beta-Hydroxyethyl acetate (Glycol monoacetate),13.0,30,303.15,,,,261,,three_figures,candidate_near_room,,C4H8O3 beta-Hydroxyethyl acetate (Glycol monoacetate) | e=13.0 | t=30 C | alpha=- | range=- | refs=261
nbs514:p21:001,21,C. ORGANIC LIQUIDS,C4H9Br,1-Bromobutane,7.07,20,293.15,150.000,alpha,"10,90","97,243,272",,three_figures,candidate_near_room,,"C4H9Br 1-Bromobutane | e=7.07 | t=20 C | alpha=0.150(alpha) | range=10,90 | refs=97,243,272"
nbs514:p21:002,21,C. ORGANIC LIQUIDS,C4H9Br,1-Bromo-2-methylpropane,7.18,25,298.15,2800.0,a,"1,55",272,,three_figures,candidate_near_room,,"C4H9Br 1-Bromo-2-methylpropane | e=7.18 | t=25 C | alpha=2.8 | range=1,55 | refs=272"
nbs514:p21:003,21,C. ORGANIC LIQUIDS,C4H9Br,2-Bromobutane,8.64,25,298.15,3300.00,a,"1,55",272,,three_figures,candidate_near_room,,"C4H9Br 2-Bromobutane | e=8.64 | t=25 C | alpha=3.30 | range=1,55 | refs=272"
nbs514:p21:004,21,C. ORGANIC LIQUIDS,C4H9Br,2-Bromo-2-methylpropane,10.15,25,298.15,5200.00,a,"-15,55","213,243,272",,four_figures,candidate_near_room,,"C4H9Br 2-Bromo-2-methylpropane | e=10.15 | t=25 C | alpha=5.20 | range=-15,55 | refs=213,243,272"
nbs514:p21:005,21,C. ORGANIC LIQUIDS,C4H9Cl,1-Chlorobutane,7.39,20,293.15,173.000,alpha,"-10,70","97,242",,three_figures,candidate_near_room,,"C4H9Cl 1-Chlorobutane | e=7.39 | t=20 C | alpha=0.173(alpha) | range=-10,70 | refs=97,242"
nbs514:p21:006,21,C. ORGANIC LIQUIDS,C4H9I,1-Iodobutane,6.22,20,293.15,135.000,alpha,"0,80","41,97,242",,three_figures,candidate_near_room,,"C4H9I 1-Iodobutane | e=6.22 | t=20 C | alpha=0.135(alpha) | range=0,80 | refs=41,97,242"
nbs514:p21:007,21,C. ORGANIC LIQUIDS,C4H9I,1-Iodo-2-methylpropane,6.47,20,293.15,,,,242,,three_figures,candidate_near_room,,C4H9I 1-Iodo-2-methylpropane | e=6.47 | t=20 C | alpha=- | range=- | refs=242
nbs514:p21:008,21,C. ORGANIC LIQUIDS,C4H9I,2-Iodopropane,7.87,20,293.15,,,,242,,three_figures,candidate_near_room,name retained as printed despite formula grouping,C4H9I 2-Iodopropane | e=7.87 | t=20 C | alpha=- | range=- | refs=242
nbs514:p21:009,21,C. ORGANIC LIQUIDS,C4H9I,2-Iodo-2-methylpropane,8.42,20,293.15,,,,242,,three_figures,candidate_near_room,,C4H9I 2-Iodo-2-methylpropane | e=8.42 | t=20 C | alpha=- | range=- | refs=242
nbs514:p21:010,21,C. ORGANIC LIQUIDS,C4H9NO,2-Butanone oxime,3.4,20,293.15,,,,27,f=5x10^8 cycles/sec,two_or_less,candidate_near_room,,C4H9NO 2-Butanone oxime | e=3.4 | t=20 C | alpha=- | range=- | refs=27
nbs514:p21:011,21,C. ORGANIC LIQUIDS,C4H9NO,Morpholine,7.33,25,298.15,,,,225,,three_figures,candidate_near_room,,C4H9NO Morpholine | e=7.33 | t=25 C | alpha=- | range=- | refs=225
nbs514:p21:012,21,C. ORGANIC LIQUIDS,C4H9NO3,Butyl nitrate,13.1,20,293.15,,,,244,,three_figures,candidate_near_room,,C4H9NO3 Butyl nitrate | e=13.1 | t=20 C | alpha=- | range=- | refs=244
nbs514:p21:013,21,C. ORGANIC LIQUIDS,C4H9NO3,Isobutyl nitrate,11.7,19,292.15,,,,14,f=3.6x10^8 cycles/sec,three_figures,candidate_near_room,,C4H9NO3 Isobutyl nitrate | e=11.7 | t=19 C | alpha=- | range=- | refs=14
nbs514:p21:014,21,C. ORGANIC LIQUIDS,C4H10Hg,Diethyl mercury,2.3,23,296.15,,,,"17,22",,two_or_less,candidate_near_room,,"C4H10Hg Diethyl mercury | e=2.3 | t=23 C | alpha=- | range=- | refs=17,22"
nbs514:p21:015,21,C. ORGANIC LIQUIDS,C4H10O,1-Butanol,17.8,20,293.15,300.000,alpha,"-40,20","81,222,278",,three_figures,candidate_near_room,,"C4H10O 1-Butanol | e=17.8 | t=20 C | alpha=0.300(alpha) | range=-40,20 | refs=81,222,278"
nbs514:p21:016,21,C. ORGANIC LIQUIDS,C4H10O,1-Butanol,17.1,25,298.15,335.000,alpha,"25,70",279,,three_figures,candidate_near_room,,"C4H10O 1-Butanol | e=17.1 | t=25 C | alpha=0.335(alpha) | range=25,70 | refs=279"
nbs514:p21:017,21,C. ORGANIC LIQUIDS,C4H10O,2-Methyl-1-propanol,17.7,25,298.15,377.000,alpha,"20,90","12,85,103,112,222",,three_figures,candidate_near_room,,"C4H10O 2-Methyl-1-propanol | e=17.7 | t=25 C | alpha=0.377(alpha) | range=20,90 | refs=12,85,103,112,222"
nbs514:p21:018,21,C. ORGANIC LIQUIDS,C4H10O,2-Butanol,15.8,25,298.15,,,,222,,three_figures,candidate_near_room,,C4H10O 2-Butanol | e=15.8 | t=25 C | alpha=- | range=- | refs=222
nbs514:p22:001,22,C. ORGANIC LIQUIDS,C4H10O,2-Methyl-2-propanol,10.9,30,303.15,,,,"109 [43,112,142,157,261]",,three_figures,candidate_near_room,,"C4H10O 2-Methyl-2-propanol | e=10.9 | t=30 C | alpha=- | range=- | refs=109 [43,112,142,157,261]"
nbs514:p22:002,22,C. ORGANIC LIQUIDS,C4H10O,Ethyl ether,4.335,20,293.15,2000.0,a,at 20,"12,35,62,96,251",,four_figures,candidate_near_room,,"C4H10O Ethyl ether | e=4.335 | t=20 C | alpha=2.0 | range=at 20 | refs=12,35,62,96,251"
nbs514:p22:003,22,C. ORGANIC LIQUIDS,C4H10O,Ethyl ether,4.34,20,293.15,217.000,alpha,"-40,30","207 [36,80,143,187]",,three_figures,candidate_near_room,source marked dielectric as chosen to conform,"C4H10O Ethyl ether | e=4.34 | t=20 C | alpha=0.217(alpha) | range=-40,30 | refs=207 [36,80,143,187]"
nbs514:p22:004,22,C. ORGANIC LIQUIDS,C4H10O2,"1,4-Butanediol",32.9,15,288.15,,,,236,,three_figures,candidate_near_room,,"C4H10O2 1,4-Butanediol | e=32.9 | t=15 C | alpha=- | range=- | refs=236"
nbs514:p22:005,22,C. ORGANIC LIQUIDS,C4H10O2,"1,4-Butanediol",30.2,30,303.15,,,,236,,three_figures,candidate_near_room,,"C4H10O2 1,4-Butanediol | e=30.2 | t=30 C | alpha=- | range=- | refs=236"
nbs514:p22:006,22,C. ORGANIC LIQUIDS,C4H10O2,"1,1-Dimethoxyethane",3.49,20,293.15,,,,298,,three_figures,candidate_near_room,,"C4H10O2 1,1-Dimethoxyethane | e=3.49 | t=20 C | alpha=- | range=- | refs=298"
nbs514:p22:007,22,C. ORGANIC LIQUIDS,C4H10O3S,Ethyl sulfite,15.9,20,293.15,,,,26,,three_figures,candidate_near_room,,C4H10O3S Ethyl sulfite | e=15.9 | t=20 C | alpha=- | range=- | refs=26
nbs514:p22:008,22,C. ORGANIC LIQUIDS,C4H10O4S,Ethyl sulfate,29.2,20,293.15,240.00,alpha,"-25,20",122,,three_figures,candidate_near_room,,"C4H10O4S Ethyl sulfate | e=29.2 | t=20 C | alpha=0.24(alpha) | range=-25,20 | refs=122"
nbs514:p22:009,22,C. ORGANIC LIQUIDS,C4H10S,1-Butanethiol,4.95,25,298.15,,,,140,,three_figures,candidate_near_room,,C4H10S 1-Butanethiol | e=4.95 | t=25 C | alpha=- | range=- | refs=140
nbs514:p22:010,22,C. ORGANIC LIQUIDS,C4H10S,Ethyl sulfide,5.72,25,298.15,,,,140,,three_figures,candidate_near_room,,C4H10S Ethyl sulfide | e=5.72 | t=25 C | alpha=- | range=- | refs=140
nbs514:p22:011,22,C. ORGANIC LIQUIDS,C4H10Zn,Diethyl zinc,2.55,20,293.15,,,,132,,two_or_less,candidate_near_room,,C4H10Zn Diethyl zinc | e=2.55 | t=20 C | alpha=- | range=- | refs=132
nbs514:p22:012,22,C. ORGANIC LIQUIDS,C4H11N,Butylamine,5.3,21,294.15,,,,14,f=3.6x10^8 cycles/sec,two_or_less,candidate_near_room,,C4H11N Butylamine | e=5.3 | t=21 C | alpha=- | range=- | refs=14
nbs514:p22:013,22,C. ORGANIC LIQUIDS,C4H11N,Isobutylamine,4.4,21,294.15,,,,14,f=3.6x10^8 cycles/sec,two_or_less,candidate_near_room,,C4H11N Isobutylamine | e=4.4 | t=21 C | alpha=- | range=- | refs=14
nbs514:p22:014,22,C. ORGANIC LIQUIDS,C4H11N,Diethylamine,3.6,22,295.15,,,,"14,22",f=3.6x10^8 cycles/sec,two_or_less,candidate_near_room,,"C4H11N Diethylamine | e=3.6 | t=22 C | alpha=- | range=- | refs=14,22"
nbs514:p22:015,22,C. ORGANIC LIQUIDS,C4H12O4Si,Tetramethyl silicate,6.0,20,293.15,,,,22,f=3.6x10^8 cycles/sec,two_or_less,candidate_exception,temperature printed as ca 20 C,C4H12O4Si Tetramethyl silicate | e=6.0 | t=ca 20 C | alpha=- | range=- | refs=22
nbs514:p22:016,22,C. ORGANIC LIQUIDS,C5FeO5,Iron pentacarbonyl,2.60,20,293.15,,,,114,,three_figures,candidate_near_room,,C5FeO5 Iron pentacarbonyl | e=2.60 | t=20 C | alpha=- | range=- | refs=114
