doi,title,publication_year,venue,query_label,week11_disposition,week11_http_status,compound_names,inchikeys,smiles_list,compound_resolution,unresolved_names,target_class,target_families,target_reason,epsilon_clue,epsilon_clue_kind,epsilon_numbers_in_title_or_abstract,epsilon_evidence,temperature_window_covered,temperature_evidence_kind,temperature_evidence,temperature_skipped_non_absolute,abstract_source,abstract_read,abstract_chars,abstract_http_status,abstract_note,unpaywall_is_oa,unpaywall_oa_status,unpaywall_http_status,best_oa_url,best_oa_url_for_pdf,best_oa_host_type,best_oa_version,best_oa_license,oa_probe_method,oa_probe_http_status,oa_probe_final_url,oa_probe_content_type,oa_probe_bytes_read,oa_probe_bot_check,oa_probe_looks_like_landing_page,oa_fulltext_reachable,oa_note,score_target,score_epsilon,score_temperature,score_oa,priority_score,priority,disposition,rationale
10.1063/1.4944394,Nonlinear dielectric spectroscopy in a fragile plastic crystal,2016,The Journal of Chemical Physics,dinitriles,table_candidate_needs_review,200,glutaronitrile;succinonitrile,ZTOMUSMDRMJOTH-UHFFFAOYSA-N;IAHFWCOBPZCAEA-UHFFFAOYSA-N,N#CCCCC#N;N#CCCC#N,partially_resolved,"plastic crystal=material class, no compound named",core,nitrile,resolved compound in a core target family: nitrile,yes,wording_only,,"Nonlinear dielectric spectroscopy in a fragile plastic crystal In this work we provide a thorough examination of the nonlinear dielectric properties of a succinonitrile-glutaronitrile mixture, representing one of the rare examples of a plastic crystal with fragile glassy dynamics.",unknown,none,,,openalex,true,1177,200,,true,green,200,https://arxiv.org/pdf/1512.06020,https://arxiv.org/pdf/1512.06020,repository,submittedVersion,,ranged_get_0_8191,206,,application/pdf,8192,false,false,true,2xx and not a bot-check page,3,1,0,2,6,P1,human_reading_list,target=core; epsilon=wording_only; temperature=unknown; oa=true; score=6
10.1063/1.4913320,Ionic conductivity and dielectric permittivity of PEO-LiClO4 solid polymer electrolyte plasticized with propylene carbonate,2015,AIP Advances,modern_carbonates_and_esters,blocked_html_landing,200,propylene carbonate,RUOJZAUFBMNUDX-UHFFFAOYSA-N,CC1COC(=O)O1,partially_resolved,"polymer electrolyte=composite solid polymer electrolyte, not a pure solvent",adjacent,carbonate_ester,resolved compound in an adjacent battery-solvent family: carbonate_ester,yes,wording_only,,Ionic conductivity and dielectric permittivity of PEO-LiClO4 solid polymer electrolyte plasticized with propylene carbonate We have studied ionic conductivity and dielectric permittivity of PEO-LiClO4 solid polymer electrolyte plasticized with propylene carbonate.,unknown,none,,,openalex,true,1258,200,,true,gold,200,https://aip.scitation.org/doi/pdf/10.1063/1.4913320,https://aip.scitation.org/doi/pdf/10.1063/1.4913320,publisher,publishedVersion,cc-by,ranged_get_0_8191,403,https://pubs.aip.org/aip/adv/article-pdf/doi/10.1063/1.4913320/12965247/027125_1_online.pdf,text/html; charset=UTF-8,5826,true,false,false,probe HTTP 403,1,1,0,0,2,P2,pending,target=adjacent; epsilon=wording_only; temperature=unknown; oa=false; score=2
10.1021/acs.jpcc.5b09380,"Self-Diffusion, Phase Behavior, and Li+ Ion Conduction in Succinonitrile-Based Plastic Cocrystals",2015,The Journal of Physical Chemistry C,dinitriles,blocked_fetch_error,403,succinonitrile;glutaronitrile,IAHFWCOBPZCAEA-UHFFFAOYSA-N;ZTOMUSMDRMJOTH-UHFFFAOYSA-N,N#CCCC#N;N#CCCCC#N,partially_resolved,"plastic crystal=material class, no compound named",core,nitrile,resolved compound in a core target family: nitrile,yes,wording_only,,We employ calorimetry and dielectric spectroscopy to probe binary mixtures of succinonitrile with glutaronitrile or acetonitrile and also analyze the effect of dissolving lithium salts in these systems.,false,explicit_point,"Some mixtures undergo phase segregation below 233 K, the transition temperature between the plastic and the fully ordered solid phase in pure succinonitrile, resulting in the appearance of a space-cha ... [truncated]",,openalex,true,1399,200,,true,hybrid,200,https://doi.org/10.1021/acs.jpcc.5b09380,,publisher,publishedVersion,other-oa,ranged_get_0_8191,403,https://pubs.acs.org/jpccck/article/119/49/27298/851666/Self-Diffusion-Phase-Behavior-and-Li-Ion,text/html; charset=UTF-8,5863,true,false,false,probe HTTP 403,3,1,-1,0,3,P2,pending,target=core; epsilon=wording_only; temperature=false; oa=false; score=3
10.1021/acs.jpcb.5b09561,Dielectric Relaxation of Ethylene Carbonate and Propylene Carbonate from Molecular Dynamics Simulations,2015,The Journal of Physical Chemistry B,modern_carbonates_and_esters,blocked_fetch_error,0,propylene carbonate;ethylene carbonate,RUOJZAUFBMNUDX-UHFFFAOYSA-N;KMTRUDSVKNLOMY-UHFFFAOYSA-N,CC1COC(=O)O1;O=C1OCCO1,resolved,,adjacent,carbonate_ester,resolved compound in an adjacent battery-solvent family: carbonate_ester,yes,wording_only,,Dielectric Relaxation of Ethylene Carbonate and Propylene Carbonate from Molecular Dynamics Simulations Ethylene carbonate (EC) and propylene carbonate (PC) are widely used solvents in lithium (Li)-ion batteries and supercapacitors.,unknown,none,,,openalex,true,658,200,,true,green,200,https://www.osti.gov/servlets/purl/1238653,https://www.osti.gov/servlets/purl/1238653,repository,submittedVersion,,ranged_get_0_8191,,,,0,false,false,false,"probe transport error: ConnectTimeout: HTTPSConnectionPool(host='www.osti.gov', port=443): Max retries exceeded with url: /servlets/purl/1238653 (Caused by ConnectTimeoutError(<HTTPSConnection(host='www.osti.gov', port=443) at 0x1faea394aa0>, 'Connection to www.osti.gov timed out. (connect timeout=60)'))",1,1,0,0,2,P2,pending,target=adjacent; epsilon=wording_only; temperature=unknown; oa=false; score=2
10.1063/1.4867095,Supercooled-liquid and plastic-crystalline state in succinonitrile-glutaronitrile mixtures,2014,The Journal of Chemical Physics,dinitriles,blocked_html_landing,200,glutaronitrile;succinonitrile,ZTOMUSMDRMJOTH-UHFFFAOYSA-N;IAHFWCOBPZCAEA-UHFFFAOYSA-N,N#CCCCC#N;N#CCCC#N,partially_resolved,"plastic crystal=material class, no compound named",core,nitrile,resolved compound in a core target family: nitrile,yes,wording_only,,Supercooled-liquid and plastic-crystalline state in succinonitrile-glutaronitrile mixtures We report a thorough characterization of the glassy phases of mixtures of succinonitrile and glutaronitrile via dielectric spectroscopy and differential scanning calorimetry.,unknown,none,,,openalex,true,1211,200,,true,bronze,200,https://aip.scitation.org/doi/pdf/10.1063/1.4867095,https://aip.scitation.org/doi/pdf/10.1063/1.4867095,publisher,publishedVersion,,ranged_get_0_8191,403,https://pubs.aip.org/aip/jcp/article-pdf/doi/10.1063/1.4867095/14922149/094504_1_online.pdf,text/html; charset=UTF-8,5826,true,false,false,probe HTTP 403,3,1,0,0,4,P2,pending,target=core; epsilon=wording_only; temperature=unknown; oa=false; score=4
10.1002/2014wr015291,Electrical permittivity and resistivity time lapses of multiphase DNAPLs in a lab test,2014,Water Resources Research,fluorinated_ethers,skipped_noise_prefilter,,methoxy-nonafluorobutane;water,OKIYQFLILPKULA-UHFFFAOYSA-N;XLYOFNOQVPJJNP-UHFFFAOYSA-N,COC(F)(F)C(F)(F)C(F)(F)C(F)(F)F;O,partially_resolved,dnapl=non-specific chlorinated-solvent mixture; no single compound named,core,fluorinated_ether;water,resolved compound in a core target family: fluorinated_ether,yes,wording_only,,"Electrical permittivity and resistivity time lapses of multiphase DNAPLs in a lab test Dense Non-Aqueous Phase Liquids (DNAPLs) induce variation in electromagnetic characteristics of the ground, e.g., electric permittivity and resistivity.",unknown,none,,,openalex,true,1443,200,,true,bronze,200,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/2014WR015291,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/2014WR015291,publisher,publishedVersion,,ranged_get_0_8191,403,,text/html; charset=UTF-8,5814,true,false,false,probe HTTP 403,3,1,0,0,4,P3,discard,target=core; epsilon=wording_only; temperature=unknown; oa=false; score=4; noise veto (geophysics_dnapl)
10.1063/1.4794792,Interfaces of propylene carbonate,2013,The Journal of Chemical Physics,modern_carbonates_and_esters,table_candidate_needs_review,200,propylene carbonate,RUOJZAUFBMNUDX-UHFFFAOYSA-N,CC1COC(=O)O1,resolved,,adjacent,carbonate_ester,resolved compound in an adjacent battery-solvent family: carbonate_ester,yes,wording_only,,The calculated thermal expansion coefficient and the dielectric constants for liquid PC agree well with experiment.,unknown,room_temperature_only,Interfaces of propylene carbonate Propylene carbonate (PC) wets graphite with a contact angle of 31° at ambient conditions. Molecular dynamics simulations agree with this contact angle after 40% reduc ... [truncated],,openalex,true,1390,200,,true,green,200,https://arxiv.org/pdf/1212.5304,https://arxiv.org/pdf/1212.5304,repository,submittedVersion,,ranged_get_0_8191,206,,application/pdf,8192,false,false,true,2xx and not a bot-check page,1,1,0,2,4,P2,pending,target=adjacent; epsilon=wording_only; temperature=unknown; oa=true; score=4
10.1063/1.4746022,Dielectric spectroscopy and ultrasonic study of propylene carbonate under ultra-high pressures,2012,The Journal of Chemical Physics,modern_carbonates_and_esters,table_candidate_needs_review,200,propylene carbonate,RUOJZAUFBMNUDX-UHFFFAOYSA-N,CC1COC(=O)O1,resolved,,adjacent,carbonate_ester,resolved compound in an adjacent battery-solvent family: carbonate_ester,yes,wording_only,,Dielectric spectroscopy and ultrasonic study of propylene carbonate under ultra-high pressures We present the high pressure dielectric spectroscopy (up to 4.2 GPa) and ultrasonic study (up to 1.7 GPa) of liquid and glassy propylene carbonate (PC).,unknown,none,,,openalex,true,1543,200,,true,green,200,https://arxiv.org/pdf/1305.3840,https://arxiv.org/pdf/1305.3840,repository,publishedVersion,,ranged_get_0_8191,206,,application/pdf,8192,false,false,true,2xx and not a bot-check page,1,1,0,2,4,P2,pending,target=adjacent; epsilon=wording_only; temperature=unknown; oa=true; score=4
10.1063/1.4740236,"Shear and dielectric responses of propylene carbonate, tripropylene glycol, and a mixture of two secondary amides",2012,The Journal of Chemical Physics,modern_carbonates_and_esters,blocked_fetch_error,403,propylene carbonate;tripropylene glycol,RUOJZAUFBMNUDX-UHFFFAOYSA-N;LEQCJROTXBYLEU-UHFFFAOYSA-N,CC1COC(=O)O1;CC(O)COCC(C)OCC(C)O,resolved,,adjacent,carbonate_ester;glycol_ether,resolved compound in an adjacent battery-solvent family: carbonate_ester;glycol_ether,no,none,,,unknown,none,,,openalex,true,1017,200,,true,bronze,200,https://pubs.aip.org/aip/jcp/article-pdf/doi/10.1063/1.4740236/14080820/064508_1_online.pdf,https://pubs.aip.org/aip/jcp/article-pdf/doi/10.1063/1.4740236/14080820/064508_1_online.pdf,publisher,publishedVersion,,ranged_get_0_8191,403,,text/html; charset=UTF-8,5826,true,false,false,probe HTTP 403,1,0,0,0,1,P3,discard,target=adjacent; epsilon=none; temperature=unknown; oa=false; score=1
10.1021/jp302790j,Hydrogen-Bonding Effects on the Formation and Lifetimes of Charge-Separated States in Molecular Triads,2012,The Journal of Physical Chemistry A,fluorinated_alcohols,blocked_html_landing,200,"hexafluoroisopropanol;2,2,2-trifluoroethanol",BYEAHWXPCBROCE-UHFFFAOYSA-N;RHQDFWAXVIIEBN-UHFFFAOYSA-N,OC(C(F)(F)F)C(F)(F)F;OCC(F)(F)F,partially_resolved,molecular triad=not a solvent,off,fluoroalcohol,every resolved compound maps to a non-target family: fluoroalcohol,yes,wording_only,,In both triads the lifetime of the charge-separated state correlates with the hydrogen bond donor strength of the solvent but not with the solvent dielectric constant.,unknown,none,,,openalex,true,1781,200,,true,green,200,https://edoc.unibas.ch/48169/1/No%2037%20Hankache_JPhysChemA_2012_116_8159.pdf,https://edoc.unibas.ch/48169/1/No%2037%20Hankache_JPhysChemA_2012_116_8159.pdf,repository,acceptedVersion,other-oa,ranged_get_0_8191,200,https://edoc.unibas.ch/entities/publication/92abb649-c46b-4e19-a6b9-6ca89d039e48,text/html; charset=utf-8,8192,false,false,true,2xx and not a bot-check page,0,1,0,2,3,P2,pending,target=off; epsilon=wording_only; temperature=unknown; oa=true; score=3
10.1063/1.2815764,"Solvation effect on conformations of 1,2:dimethoxyethane: Charge-dependent nonlinear response in implicit solvent models",2008,The Journal of Chemical Physics,glymes,blocked_fetch_error,403,"1,2-dimethoxyethane",XTHFKEDIFFGKHM-UHFFFAOYSA-N,COCCOC,resolved,,core,glyme,resolved compound in a core target family: glyme,no,none,,,unknown,none,,,openalex,true,1685,200,,true,green,200,https://www.ncbi.nlm.nih.gov/pmc/articles/2717614,,repository,submittedVersion,,ranged_get_0_8191,403,https://pmc.ncbi.nlm.nih.gov/articles/2717614,text/html; charset=UTF-8,134,true,false,false,probe HTTP 403,3,0,0,0,3,P2,pending,target=core; epsilon=none; temperature=unknown; oa=false; score=3
10.1529/biophysj.106.098715,"2,2,2-Trifluoroethanol Changes the Transition Kinetics and Subunit Interactions in the Small Bacterial Mechanosensitive Channel MscS",2007,Biophysical Journal,fluorinated_alcohols,skipped_noise_prefilter,,"2,2,2-trifluoroethanol",RHQDFWAXVIIEBN-UHFFFAOYSA-N,OCC(F)(F)F,partially_resolved,"mscs=membrane protein channel, not a solvent",off,fluoroalcohol,every resolved compound maps to a non-target family: fluoroalcohol,no,none,,,unknown,none,,,not read,false,0,,abstract not read: OpenAlex HTTP 200: no abstract_inverted_index; Crossref HTTP 200: no abstract field,true,bronze,200,https://doi.org/10.1529/biophysj.106.098715,,publisher,publishedVersion,,ranged_get_0_8191,200,https://linkinghub.elsevier.com/retrieve/pii/S0006349507710822,text/html;charset=UTF-8,2746,false,true,unknown,"2xx HTML body of only 2746 bytes (no Range support): looks like a landing page, not the article",0,0,0,1,1,P3,discard,target=off; epsilon=none; temperature=unknown; oa=unknown; score=1; noise veto (biophysics_peptide_or_protein)
10.1023/b:ijot.0000034239.58332.be,"Dielectric Properties in Ternary Mixtures of Ethane-1,2-diol + 1,2-Dimethoxyethane + Water",2004,International Journal of Thermophysics,glymes,blocked_fetch_error,403,"1,2-dimethoxyethane;ethane-1,2-diol;water",XTHFKEDIFFGKHM-UHFFFAOYSA-N;LYCAIKOWRPUZTN-UHFFFAOYSA-N;XLYOFNOQVPJJNP-UHFFFAOYSA-N,COCCOC;OCCO;O,resolved,,core,glyme;diol;water,resolved compound in a core target family: glyme,no,none,,,unknown,none,,,not read,false,0,,abstract not read: OpenAlex HTTP 200: no abstract_inverted_index; Crossref HTTP 200: no abstract field,true,green,200,http://hdl.handle.net/11380/613299,,repository,submittedVersion,cc-by,ranged_get_0_8191,403,https://iris.unimore.it/handle/11380/613299,text/html; charset=UTF-8,5655,true,false,false,probe HTTP 403,3,0,0,0,3,P2,pending,target=core; epsilon=none; temperature=unknown; oa=false; score=3
10.1073/pnas.182199699,"Mechanism by which 2,2,2-trifluoroethanol/water mixtures stabilize secondary-structure formation in peptides: A molecular dynamics study",2002,Proceedings of the National Academy of Sciences,fluorinated_alcohols,skipped_noise_prefilter,,"2,2,2-trifluoroethanol;water",RHQDFWAXVIIEBN-UHFFFAOYSA-N;XLYOFNOQVPJJNP-UHFFFAOYSA-N,OCC(F)(F)F;O,resolved,,off,fluoroalcohol;water,every resolved compound maps to a non-target family: fluoroalcohol;water,no,none,,,true,explicit_point,The peptides were studied in pure water and 30% (vol/vol) TFE/water mixtures at 300 K.,,openalex,true,952,200,,true,green,200,https://www.ncbi.nlm.nih.gov/pmc/articles/129418,,repository,submittedVersion,,ranged_get_0_8191,403,https://pmc.ncbi.nlm.nih.gov/articles/129418,text/html; charset=UTF-8,134,true,false,false,probe HTTP 403,0,0,2,0,2,P3,discard,target=off; epsilon=none; temperature=true; oa=false; score=2; noise veto (biophysics_peptide_or_protein)
10.1149/1.1403730,"Change of Conductivity with Salt Content, Solvent Composition, and Temperature for Electrolytes of LiPF[sub 6] in Ethylene Carbonate-Ethyl Methyl Carbonate",2001,Journal of The Electrochemical Society,modern_carbonates_and_esters,blocked_html_landing,200,ethyl methyl carbonate;ethylene carbonate,JBTWLSYIZRCDFO-UHFFFAOYSA-N;KMTRUDSVKNLOMY-UHFFFAOYSA-N,CCOC(=O)OC;O=C1OCCO1,resolved,,adjacent,carbonate_ester,resolved compound in an adjacent battery-solvent family: carbonate_ester,yes,wording_only,,"Here we also discuss and interpret qualitatively the trends found in the change of conductivity with salt content, solvent composition, and temperature, based on the dependency on the same variables of these three factors: the number of dissociated ions in the electrolyte, the dielectric constant of the solvent, and the viscosity of the electrolyte. © 2001 The Electrochemical Society.",unknown,none,,,openalex,true,1196,200,,true,bronze,200,https://iopscience.iop.org/article/10.1149/1.1403730/pdf,https://iopscience.iop.org/article/10.1149/1.1403730/pdf,publisher,publishedVersion,,ranged_get_0_8191,206,https://validate.perfdrive.com/fb803c746e9148689b3984a31fccd902/?ssa=8d71bdf0-06be-4503-ad39-453ecd4cf461&ssb=32198233097&ssc=https%3A%2F%2Fiopscience.iop.org%2Farticle%2F10.1149%2F1.1403730%2Fpdf&ssi=f7380f80-cnvj-4cf9-8202-bc3f824335cf&ssk=botmanager_support@radware.com&ssm=21365471490419765107466122221520&ssn=bcfdd496994f9926b66618dd8de319f68d4765dc2e72-dc3b-4b66-b5671d&sso=dc63d086-8f6a50efdea0daaad31ab483aa3899cf450038e5850475ae&ssp=54108824251790356929179034399511175&ssq=45158996067059232176160670642038305724328&ssr=MjIyLjIwLjE5My4yMzk=&sst=electrolyte-ml-research/1.0%20(AL%20round-3%20title/abstract%20triage;%20mailto:codex@local)&ssu=&ssv=&ssw=&ssx=eyJyZCI6ImlvcC5vcmciLCJ1em14IjoiN2ZjMDAwYWUyMmU0YWYtZDJjZS00MDJkLWJmN2QtMzRlYTVmNGE3YTEwMS0xNzkwMzYwNjcwOTM3MC0wMDYyNDE0ODUzMDI2MmE3MjA1MTAiLCJfX3V6bWYiOiI3ZjkwMDA2NWRjMmU3Mi1kYzNiLTRiNjYtYjA4Ni04ZjZhNTBlZmRlYTAxLTE3OTAzNjA2NzA5MzcwLTAwNWRmMWVjNTVjZjQyMDA0NTUxMCJ9,text/html; charset=UTF-8,8192,false,false,true,2xx and not a bot-check page,1,1,0,2,4,P2,pending,target=adjacent; epsilon=wording_only; temperature=unknown; oa=true; score=4
