source_id,inchikey,compound_name,formula,T_K,temperature_c,dielectric_observed,alpha_1e5,alpha_kind,valid_range_C,range_low_c,range_high_c,target_in_valid_range,correctability,implied_dielectric_slope,implied_slope_is_physical,dielectric_at_298_15,delta_epsilon,relative_delta_epsilon,in_frozen_v03
nbs514:p26:004,ISPYQTSUDJAMAB-UHFFFAOYSA-N,o-Chlorophenol,C6H5ClO,298.15,25,6.31,2700,a,25 to 58,25,58,true,already_at_target,-0.027,true,6.31,0,0,true
nbs514:p26:005,PYLWMHQQBFSUBP-UHFFFAOYSA-N,Fluorobenzene,C6H5F,298.15,25,5.42,,,,,,,no_coefficient,,,,,,true
nbs514:p26:006,SNHMUERNLJLMHN-UHFFFAOYSA-N,Iodobenzene,C6H5I,293.15,20,4.63,,,,,,,no_coefficient,,,,,,true
nbs514:p26:007,LQNUZADURLCDLV-UHFFFAOYSA-N,Nitrobenzene,C6H5NO2,298.15,25,34.82,225,alpha,10 to 80,10,80,true,already_at_target,-0.180396029111,true,34.82,0,0,false
nbs514:p26:008,UHOVQNZJYSORNB-UHFFFAOYSA-N,Benzene,C6H6,293.15,20,2.284,200,a,10 to 60,10,60,true,range_covers_target,-0.002,true,2.274,-0.01,-0.00437828371278,true
nbs514:p26:011,PAYRUJLWNCNPSJ-UHFFFAOYSA-N,Aniline,C6H7N,293.15,20,6.89,148,alpha,0 to 50,0,50,true,range_covers_target,-0.0234799207103,true,6.77359493329,-0.116405066709,-0.0168947847182,true
nbs514:p27:002,LCZUOKDVTBMCMX-UHFFFAOYSA-N,"2,5-Dimethylpyrazine",C6H8N2,293.15,20,2.436,130,a,20 to 50,20,50,true,range_covers_target,-0.0013,true,2.4295,-0.0065,-0.00266830870279,true
nbs514:p27:005,HGCIXCUEYOPUTN-UHFFFAOYSA-N,Cyclohexene,C6H10,298.15,25,2.22,,,,,,,no_coefficient,,,,,,true
nbs514:p27:006,APPOKADJQUIAHP-UHFFFAOYSA-N,"2,4-Hexadiene",C6H10,298.15,25,2.22,,,,,,,no_coefficient,,,,,,true
nbs514:p27:007,RCJMVGJKROQDCB-UHFFFAOYSA-N,"2-Methyl-1,3-pentadiene",C6H10,298.15,25,2.42,,,,,,,no_coefficient,,,,,,true
nbs514:p27:008,BOGRNZQRTNVZCZ-AATRIKPKSA-N,"3-Methyl-1,3-pentadiene",C6H10,298.15,25,2.43,,,,,,,no_coefficient,,,,,,true
nbs514:p27:009,CJSBUWDGPXGFGA-UHFFFAOYSA-N,"4-Methyl-1,3-pentadiene",C6H10,298.15,25,2.6,,,,,,,no_coefficient,,,,,,false
nbs514:p27:010,SDJHPPZKZZWAKF-UHFFFAOYSA-N,"2,3-Dimethyl-1,3-butadiene",C6H10,298.15,25,2.1,170,a,-50 to 50,-50,50,true,already_at_target,-0.0017,true,2.1,0,0,false
nbs514:p27:012,SHOJXDKTYKFBRD-UHFFFAOYSA-N,4-Methyl-3-penten-2-one (Mesityl oxide),C6H10O,293.15,20,15.1,,,,,,,no_coefficient,,,,,,false
nbs514:p27:013,SDMLPLSHKDLKLC-UHFFFAOYSA-N,Butoxyacetylene,C6H10O,298.15,25,6.62,,,,,,,no_coefficient,,,,,,false
nbs514:p27:016,XYIBRDXRRQCHLP-UHFFFAOYSA-N,Ethyl acetoacetate,C6H10O3,295.15,22,15.7,,,,,,,no_coefficient,,,,,,false
nbs514:p27:019,AQNQQHJNRPDOQV-UHFFFAOYSA-N,Bromocyclohexane,C6H11Br,298.15,25,7.92,140,alpha,1 to 55,1,55,true,already_at_target,-0.0255310635111,true,7.92,0,0,false
nbs514:p27:020,UAENTLSAGQVMDD-UHFFFAOYSA-N,dl-threo-2-Acetoxy-3-bromobutane,C6H11BrO2,298.15,25,7.414,,,,,,,no_coefficient,,,,,,false
nbs514:p28:005,DUJMVKJJUANUMQ-UHFFFAOYSA-N,Isocapronitrile,C6H11N,295.15,22,15.6,,,,,,,no_coefficient,,,,,,false
nbs514:p28:008,GDOPTJXRTPNYNR-UHFFFAOYSA-N,Methylcyclopentane,C6H12,293.15,20,1.985,,,,,,,no_coefficient,,,,,,true
nbs514:p28:009,NEZRFXZYPAIZAD-UHFFFAOYSA-N,Ethylcyclobutane,C6H12,293.15,20,1.965,,,,,,,no_coefficient,,,,,,true
nbs514:p28:010,ZQDPJFUHLCOCRG-WAYWQWQTSA-N,cis-3-Hexene,C6H12,298.15,25,2.062,,,,,,,no_coefficient,,,,,,true
nbs514:p28:011,ZQDPJFUHLCOCRG-AATRIKPKSA-N,trans-3-Hexene,C6H12,298.15,25,2,,,,,,,no_coefficient,,,,,,true
nbs514:p28:012,VCQBYNRFLHNSKA-UHFFFAOYSA-N,"dl-3,4-Dibromohexane",C6H12Br2,298.15,25,6.732,,,,,,,no_coefficient,,,,,,false
nbs514:p28:013,VCQBYNRFLHNSKA-OLQVQODUSA-N,"meso-3,4-Dibromohexane",C6H12Br2,298.15,25,4.67,,,,,,,no_coefficient,,,,,,false
nbs514:p28:015,NTIZESTWPVYFNL-UHFFFAOYSA-N,4-Methyl-2-pentanone,C6H12O,293.15,20,13.11,210,alpha,-20 to 100,-20,100,true,range_covers_target,-0.0633924701952,true,12.7968385777,-0.31316142234,-0.0238872175698,true
nbs514:p28:016,DIQMPQMYFZXDAX-UHFFFAOYSA-N,Amyl formate,C6H12O2,298.15,25,6.49,,,,,,,no_coefficient,,,,,,true
nbs514:p28:017,DKPFZGUDAPQIHT-UHFFFAOYSA-N,Butyl acetate,C6H12O2,293.15,20,5.01,1400,a,20 to 40,20,40,true,range_covers_target,-0.014,true,4.94,-0.07,-0.0139720558882,true
nbs514:p28:018,GJRQTCIYDGXPES-UHFFFAOYSA-N,Isobutyl acetate,C6H12O2,293.15,20,5.29,1600,a,20,20,20,false,range_excludes_target,-0.016,true,5.21,-0.08,-0.0151228733459,true
nbs514:p29:002,SWXVUIWOUIDPGS-UHFFFAOYSA-N,4-Hydroxy-4-methyl-2-pentanone (Diacetone alcohol),C6H12O2,298.15,25,18.2,,,,,,,no_coefficient,,,,,,true
nbs514:p29:003,SVONRAPFKPVNKG-UHFFFAOYSA-N,"beta-Ethoxyethyl acetate (""Cellosolve"" acetate)",C6H12O3,303.15,30,7.57,3100,a,30 to 50,30,50,false,range_excludes_target,-0.031,true,7.725,0.155,0.0204755614267,true
nbs514:p29:004,SQYNKIJPMDEDEG-UHFFFAOYSA-N,Paraldehyde,C6H12O3,298.15,25,13.9,,,,,,,no_coefficient,,,,,,true
nbs514:p29:005,MNDIARAMWBIKFW-UHFFFAOYSA-N,1-Bromohexane,C6H13Br,298.15,25,5.82,1730,a,25 to 55,25,55,true,already_at_target,-0.0173,true,5.82,0,0,false
nbs514:p29:006,ANOOTOPTCJRUPK-UHFFFAOYSA-N,1-Iodohexane,C6H13I,293.15,20,5.37,,,,,,,no_coefficient,,,,,,false
nbs514:p29:007,VLKZOEOYAKHREP-UHFFFAOYSA-N,n-Hexane,C6H14,293.15,20,1.89,155,a,-10 to 50,-10,50,true,range_covers_target,-0.00155,true,1.88225,-0.00775,-0.00410052910053,true
nbs514:p29:009,POLCUAVZOMRGSN-UHFFFAOYSA-N,Propyl ether,C6H14O,299.15,26,3.39,,,,,,,no_coefficient,,,,,,true
nbs514:p29:010,ZAFNJMIOTHYJRJ-UHFFFAOYSA-N,Isopropyl ether,C6H14O,298.15,25,3.88,1800,a,0 to 25,0,25,true,already_at_target,-0.018,true,3.88,0,0,true
nbs514:p29:011,SVTBMSDMJJWYQN-UHFFFAOYSA-N,"2-Methyl-2,4-pentanediol",C6H14O2,303.15,30,24.4,14500,a,30 to 35,30,35,false,range_excludes_target,-0.145,true,25.125,0.725,0.0297131147541,true
nbs514:p29:012,DHKHKXVYLBGOIT-UHFFFAOYSA-N,"1,1-Diethoxyethane",C6H14O2,298.15,25,3.8,,,,,,,no_coefficient,,,,,,true
nbs514:p29:015,ZMANZCXQSJIPKH-UHFFFAOYSA-N,Triethylamine,C6H15N,298.15,25,2.42,,,,,,,no_coefficient,,,,,,true
nbs514:p29:016,UQEAIHBTYFGYIE-UHFFFAOYSA-N,Hexamethyldisiloxane,C6H18OSi2,293.15,20,2.17,,,,,,,no_coefficient,,,,,,true
nbs514:p30:003,GETTZEONDQJALK-UHFFFAOYSA-N,"alpha,alpha,alpha-Trifluorotoluene",C7H5F3,303.15,30,9.18,,,,,,,no_coefficient,,,,,,true
nbs514:p30:004,JFDZBHWFFUWGJE-UHFFFAOYSA-N,Benzonitrile,C7H5N,298.15,25,25.2,157,alpha,0 to 25,0,25,true,already_at_target,-0.0910994766192,true,25.2,0,0,true
nbs514:p30:006,QKFJKGMPGYROCL-UHFFFAOYSA-N,Phenyl isothiocyanate,C7H5NS,293.15,20,10.4,,,,,,,no_coefficient,,,,,,false
nbs514:p30:008,HUMNYLRZRPPJDN-UHFFFAOYSA-N,Benzaldehyde,C7H6O,293.15,20,17.8,,,,,,,no_coefficient,,,,,,false
nbs514:p30:009,SMQUZDBALVYZAC-UHFFFAOYSA-N,Salicylaldehyde,C7H6O2,303.15,30,17.1,7000,a,30 to 40,30,40,false,range_excludes_target,-0.07,true,17.45,0.35,0.0204678362573,false
nbs514:p30:010,QJPJQTDYNZXKQF-UHFFFAOYSA-N,p-Bromoanisole,C7H7BrO,303.15,30,7.06,1600,a,30 to 40,30,40,false,range_excludes_target,-0.016,true,7.14,0.08,0.0113314447592,true
nbs514:p30:011,IBSQPLPBRSHTTG-UHFFFAOYSA-N,o-Chlorotoluene,C7H7Cl,293.15,20,4.45,,,,,,,no_coefficient,,,,,,true
nbs514:p30:012,OSOUNOBYRMOXQQ-UHFFFAOYSA-N,m-Chlorotoluene,C7H7Cl,293.15,20,5.55,,,,,,,no_coefficient,,,,,,true
nbs514:p30:013,NPDACUSDTOMAMK-UHFFFAOYSA-N,p-Chlorotoluene,C7H7Cl,293.15,20,6.08,,,,,,,no_coefficient,,,,,,true
nbs514:p30:014,MMZYCBHLNZVROM-UHFFFAOYSA-N,o-Fluorotoluene,C7H7F,303.15,30,4.22,,,,,,,no_coefficient,,,,,,true
nbs514:p30:015,BTQZKHUEUDPRST-UHFFFAOYSA-N,m-Fluorotoluene,C7H7F,303.15,30,5.42,,,,,,,no_coefficient,,,,,,true
nbs514:p30:016,WRWPPGUCZBJXKX-UHFFFAOYSA-N,p-Fluorotoluene,C7H7F,303.15,30,5.86,,,,,,,no_coefficient,,,,,,true
nbs514:p31:001,PLAZTCDQAHEYBI-UHFFFAOYSA-N,o-Nitrotoluene,C7H7NO2,293.15,20,27.4,15000,a,20,20,20,false,range_excludes_target,-0.15,true,26.65,-0.75,-0.0273722627737,false
nbs514:p31:002,QZYHIOPPLUPUJF-UHFFFAOYSA-N,m-Nitrotoluene,C7H7NO2,293.15,20,23.8,,,,,,,no_coefficient,,,,,,false
nbs514:p31:005,WVDDGKGOMKODPV-UHFFFAOYSA-N,Benzyl alcohol,C7H8O,293.15,20,13.1,,,,,,,no_coefficient,,,,,,true
nbs514:p31:006,QWVGKYWNOKOFNN-UHFFFAOYSA-N,o-Cresol,C7H8O,298.15,25,11.5,11000,a,25 to 30,25,30,true,already_at_target,-0.11,true,11.5,0,0,true
nbs514:p31:007,RLSSMJSEOOYNOY-UHFFFAOYSA-N,m-Cresol,C7H8O,298.15,25,11.8,410,alpha,15 to 50,15,50,true,already_at_target,-0.111399066799,true,11.8,0,0,true
nbs514:p31:008,RDOXTESZEPMUJZ-UHFFFAOYSA-N,Methoxybenzene (Anisole),C7H8O,298.15,25,4.33,1100,a,20 to 40,20,40,true,already_at_target,-0.011,true,4.33,0,0,true
nbs514:p31:009,LHGVFZTZFXWLCP-UHFFFAOYSA-N,o-Methoxyphenol (Guaiacol),C7H8O2,301.15,28,11.7,,,,,,,no_coefficient,,,,,,false
nbs514:p32:001,LFSAPCRASZRSKS-UHFFFAOYSA-N,2-Methylcyclohexanone,C7H12O,293.15,20,14,,,,,,,no_coefficient,,,,,,true
nbs514:p32:002,UJBOOUHRTQVGRU-UHFFFAOYSA-N,3-Methylcyclohexanone,C7H12O,293.15,20,12.4,,,,,,,no_coefficient,,,,,,true
nbs514:p32:003,VGVHNLRUAMRIEW-UHFFFAOYSA-N,4-Methylcyclohexanone,C7H12O,293.15,20,12.4,,,,,,,no_coefficient,,,,,,true
nbs514:p32:004,GMEONFUTDYJSNV-UHFFFAOYSA-N,Ethyl levulinate,C7H12O3,294.15,21,11.9,,,,,,,no_coefficient,,,,,,false
nbs514:p32:005,IYXGSMUGOJNHAZ-UHFFFAOYSA-N,Diethyl malonate,C7H12O4,298.15,25,8.03,3000,a,25 to 30,25,30,true,already_at_target,-0.03,true,8.03,0,0,true
nbs514:p32:008,ZGEGCLOFRBLKSE-UHFFFAOYSA-N,1-Heptene,C7H14,293.15,20,2.05,,,,,,,no_coefficient,,,,,,false
nbs514:p32:009,BWEKDYGHDCHWEN-UHFFFAOYSA-N,2-Methyl-2-hexene,C7H14,293.15,20,2.96,,,,,,,no_coefficient,,,,,,false
nbs514:p32:010,CKVJSNYSBIZAAE-UHFFFAOYSA-N,"1,2-Dibromoheptane",C7H14Br2,298.15,25,3.77,,,,,,,no_coefficient,,,,,,false
nbs514:p32:011,JEFHWRMJALOCDT-UHFFFAOYSA-N,"2,3-Dibromoheptane",C7H14Br2,298.15,25,5.08,,,,,,,no_coefficient,,,,,,false
nbs514:p32:012,JZGBICDPBLLXKB-UHFFFAOYSA-N,"3,4-Dibromoheptane",C7H14Br2,298.15,25,4.7,,,,,,,no_coefficient,,,,,,false
nbs514:p32:013,NDVWOBYBJYUSMF-UHFFFAOYSA-N,2-Methylcyclohexanol,C7H14O,293.15,20,13.3,560,alpha,20,20,20,false,range_excludes_target,-0.171496537726,true,12.4695746921,-0.830425307886,-0.0624379930741,true
nbs514:p32:014,HTSABYAWKQAHBT-UHFFFAOYSA-N,3-Methylcyclohexanol,C7H14O,293.15,20,12.3,430,alpha,20,20,20,false,range_excludes_target,-0.121783725568,true,11.7059081318,-0.594091868211,-0.0483001518871,true
nbs514:p32:015,MQWCXKGKQLNYQG-UHFFFAOYSA-N,4-Methylcyclohexanol,C7H14O,293.15,20,13.3,410,alpha,20,20,20,false,range_excludes_target,-0.125559965121,true,12.6867867798,-0.613213220207,-0.0461062571585,true
nbs514:p32:016,FXHGMKSSBGDXIY-UHFFFAOYSA-N,Heptaldehyde,C7H14O,295.15,22,9.07,,,,,,,no_coefficient,,,,,,false
