inchikey,smiles,name,T_K,dielectric,uncertainty,uncertainty_value,uncertainty_kind,confidence_level,uncertainty_json,source_doi,source_dois_all,n_observations,n_historical_observations,source_scope,crosscheck_available,gate_flags,source_record_id,source_page,source_quality,selection_rank,structure_resolution_source,al_round1_hit,max_tanimoto_solvfunc
MTHSVFCYNBDYFN-UHFFFAOYSA-N,OCCOCCO,diethylene glycol,298.15,30.95,0.04,0.04,combined,95,"[{""confidence_level"":""95"",""kind"":""combined"",""value"":""0.04""}]",10.1016/j.jct.2007.09.004,10.1016/j.jct.2007.09.004;arXiv:1506.00262,3,3,p1_thermoml_zero_frequency_pure_293.15_303.15K;chodera_2015_historical_dielectric_crosscheck,true,zero_frequency|pure_component|experimental|historical_fallback_target,,,,,,,
MWKFXSUHUHTGQN-UHFFFAOYSA-N,CCCCCCCCCCO,decan-1-ol,298.15,7.74,0.49,0.49,combined,95,"[{""confidence_level"":""95"",""kind"":""combined"",""value"":""0.49""}]",10.1021/acs.jced.8b00755,10.1021/acs.jced.8b00755,1,0,p1_thermoml_zero_frequency_pure_293.15_303.15K,false,zero_frequency|pure_component|experimental,,,,,,,
NEQXUPRFDXNNTA-UHFFFAOYSA-N,CC(O)C(=O)O.NCCO,2-hydroxyethylammonium lactate,298.15,85.6,8,8,combined,95,"[{""confidence_level"":""95"",""kind"":""combined"",""value"":""8""}]",10.1021/je101184s,10.1021/je101184s,1,0,p1_thermoml_zero_frequency_pure_293.15_303.15K,false,zero_frequency|pure_component|experimental,,,,,,,
OHLUUHNLEMFGTQ-UHFFFAOYSA-N,CN=C(C)O,N-methylacetamide,303.15,178.47,1.785,1.785,combined,95,"[{""confidence_level"":""95"",""kind"":""combined"",""value"":""1.785""}]",10.1021/je9002515,10.1021/je9002515;arXiv:1506.00262,1,2,p1_thermoml_zero_frequency_pure_293.15_303.15K;chodera_2015_historical_dielectric_crosscheck,true,zero_frequency|pure_component|experimental|historical_fallback_target,,,,,,,
OIFBSDVPJOWBCH-UHFFFAOYSA-N,CCOC(=O)OCC,diethyl carbonate,298.15,2.834,0.057,0.057,combined,95,"[{""confidence_level"":""95"",""kind"":""combined"",""value"":""0.057""}]",10.1016/j.jct.2008.02.015,10.1016/j.jct.2008.02.015;arXiv:1506.00262,1,5,p1_thermoml_zero_frequency_pure_293.15_303.15K;chodera_2015_historical_dielectric_crosscheck,true,zero_frequency|pure_component|experimental|historical_fallback_target,,,,,,,
OKKJLVBELUTLKV-UHFFFAOYSA-N,CO,methanol,298.15,33.6,0.07,0.07,combined,95,"[{""confidence_level"":""95"",""kind"":""combined"",""value"":""0.06""},{""confidence_level"":""95"",""kind"":""combined"",""value"":""0.07""},{""confidence_level"":""95"",""kind"":""combined"",""value"":""0.08""},{""confidence_level"":""95"",""kind"":""combined"",""value"":""0.11""},{""confidence_level"":""95"",""kind"":""combined"",""value"":""1.33""},{""confidence_level"":""95"",""kind"":""combined"",""value"":""3.5""}]",10.1016/j.fluid.2013.12.014;10.1016/j.jct.2012.08.009;10.1016/j.tca.2013.05.022;10.1021/je060248p;10.1021/je800593p,10.1016/j.fluid.2013.12.014;10.1016/j.jct.2012.08.009;10.1016/j.tca.2013.05.022;10.1021/je060248p;10.1021/je800593p;arXiv:1506.00262,13,6,p1_thermoml_zero_frequency_pure_293.15_303.15K;chodera_2015_historical_dielectric_crosscheck,true,zero_frequency|pure_component|experimental|historical_fallback_target,,,,,,,
OOKUTCYPKPJYFV-UHFFFAOYSA-N,Br.Cn1ccnc1,1-methylimidazolium bromide,298.15,16.6,2.4,2.4,combined,95,"[{""confidence_level"":""95"",""kind"":""combined"",""value"":""2.4""}]",10.1021/je101184s,10.1021/je101184s,1,0,p1_thermoml_zero_frequency_pure_293.15_303.15K,false,zero_frequency|pure_component|experimental,,,,,,,
PEDCQBHIVMGVHV-UHFFFAOYSA-N,OCC(O)CO,glycerol,303.15,41.17,0.25,0.25,combined,95,"[{""confidence_level"":""95"",""kind"":""combined"",""value"":""0.25""}]",10.1016/j.fluid.2008.01.024;10.1016/j.fluid.2009.07.009,10.1016/j.fluid.2008.01.024;10.1016/j.fluid.2009.07.009;arXiv:1506.00262,2,1,p1_thermoml_zero_frequency_pure_293.15_303.15K;chodera_2015_historical_dielectric_crosscheck,true,zero_frequency|pure_component|experimental|historical_fallback_target,,,,,,,
QRCRANRUHQKZME-UHFFFAOYSA-N,CCCCn1c(C)c(C)[n+](C)c1C.F[B-](F)(F)F,"3-butyl-1,2,4,5-tetramethyl-1H-imidazol-3-ium tetrafluoroborate",298.15,12,1.2,1.2,combined,95,"[{""confidence_level"":""95"",""kind"":""combined"",""value"":""1.2""}]",10.1021/je101184s,10.1021/je101184s,1,0,p1_thermoml_zero_frequency_pure_293.15_303.15K,false,zero_frequency|pure_component|experimental,,,,,,,
QTBSBXVTEAMEQO-UHFFFAOYSA-N,CC(=O)O,acetic acid,293.15,6.15,0.02,0.02,combined,95,"[{""confidence_level"":""95"",""kind"":""combined"",""value"":""0.02""}]",10.1016/j.jct.2012.08.009,10.1016/j.jct.2012.08.009,1,0,p1_thermoml_zero_frequency_pure_293.15_303.15K,false,zero_frequency|pure_component|experimental,,,,,,,
RJQQOKKINHMXIM-UHFFFAOYSA-N,CC(O)C(=O)O.OCCN(CCO)CCO,triethanolamine lactate,298.15,59.7,6,6,combined,95,"[{""confidence_level"":""95"",""kind"":""combined"",""value"":""6""}]",10.1021/je101184s,10.1021/je101184s,1,0,p1_thermoml_zero_frequency_pure_293.15_303.15K,false,zero_frequency|pure_component|experimental,,,,,,,
RYHBNJHYFVUHQT-UHFFFAOYSA-N,C1COCCO1,"1,4-dioxane",298.2,2.228,0.01,0.01,combined,95,"[{""confidence_level"":""95"",""kind"":""combined"",""value"":""0.01""}]",10.1016/j.jct.2011.07.021,10.1016/j.jct.2011.07.021;arXiv:1506.00262,1,3,p1_thermoml_zero_frequency_pure_293.15_303.15K;chodera_2015_historical_dielectric_crosscheck,true,zero_frequency|pure_component|experimental|historical_fallback_target,,,,,,,
SBZXBUIDTXKZTM-UHFFFAOYSA-N,COCCOCCOC,"2,5,8-trioxanonane",298.15,7.3815,0.1485,0.1485,combined,95,"[{""confidence_level"":""95"",""kind"":""combined"",""value"":""0.147""},{""confidence_level"":""95"",""kind"":""combined"",""value"":""0.15""}]",10.1016/j.jct.2008.09.006;10.1016/j.jct.2010.09.008,10.1016/j.jct.2008.09.006;10.1016/j.jct.2010.09.008;arXiv:1506.00262,2,5,p1_thermoml_zero_frequency_pure_293.15_303.15K;chodera_2015_historical_dielectric_crosscheck,true,zero_frequency|pure_component|experimental|historical_fallback_target,,,,,,,
SHQSVMDWKBRBGB-UHFFFAOYSA-N,O=C1CCC1,cyclobutanone,298.15,14.96,0.02,0.02,combined,95,"[{""confidence_level"":""95"",""kind"":""combined"",""value"":""0.02""}]",10.1021/je200682t,10.1021/je200682t,5,0,p1_thermoml_zero_frequency_pure_293.15_303.15K,false,zero_frequency|pure_component|experimental,,,,,,,
SIXHYMZEOJSYQH-UHFFFAOYSA-M,CCCCn1cc[n+](C)c1.N#C[S-],1-butyl-3-methylimidazolium thiocyanate,298.15,13.7,1.6,1.6,combined,95,"[{""confidence_level"":""95"",""kind"":""combined"",""value"":""1.6""}]",10.1021/je101184s,10.1021/je101184s,1,0,p1_thermoml_zero_frequency_pure_293.15_303.15K,false,zero_frequency|pure_component|experimental,,,,,,,
STCBHSHARMAIOM-UHFFFAOYSA-N,Cl.Cn1ccnc1,1-methylimidazolium chloride,298.15,13.8,2,2,combined,95,"[{""confidence_level"":""95"",""kind"":""combined"",""value"":""2""}]",10.1021/je101184s,10.1021/je101184s,1,0,p1_thermoml_zero_frequency_pure_293.15_303.15K,false,zero_frequency|pure_component|experimental,,,,,,,
TVMXDCGIABBOFY-UHFFFAOYSA-N,CCCCCCCC,octane,298.15,1.961,0.118,0.118,combined,95,"[{""confidence_level"":""95"",""kind"":""combined"",""value"":""0.117""},{""confidence_level"":""95"",""kind"":""combined"",""value"":""0.118""}]",10.1016/j.tca.2012.05.036;10.1016/j.tca.2012.10.024,10.1016/j.tca.2012.05.036;10.1016/j.tca.2012.10.024;arXiv:1506.00262,6,5,p1_thermoml_zero_frequency_pure_293.15_303.15K;chodera_2015_historical_dielectric_crosscheck,true,zero_frequency|pure_component|experimental|historical_fallback_target,,,,,,,
UAEPNZWRGJTJPN-UHFFFAOYSA-N,CC1CCCCC1,methylcyclohexane,298.2,2.01,0.01,0.01,combined,95,"[{""confidence_level"":""95"",""kind"":""combined"",""value"":""0.01""}]",10.1016/j.jct.2012.04.011,10.1016/j.jct.2012.04.011,1,0,p1_thermoml_zero_frequency_pure_293.15_303.15K,false,zero_frequency|pure_component|experimental,,,,,,,
UCCKRVYTJPMHRO-UHFFFAOYSA-N,CCCCn1cc[n+](C)c1C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"1-butyl-2,3-dimethyl-1H-imidazolium bis(trifluoromethylsulfonyl)amide",298.15,14,1.6,1.6,combined,95,"[{""confidence_level"":""95"",""kind"":""combined"",""value"":""1.6""}]",10.1021/je101184s,10.1021/je101184s,1,0,p1_thermoml_zero_frequency_pure_293.15_303.15K,false,zero_frequency|pure_component|experimental,,,,,,,
UEEJHVSXFDXPFK-UHFFFAOYSA-N,CN(C)CCO,"2-(N,N-dimethylamino)ethanol",303.15,17.18,0.1,0.1,combined,95,"[{""confidence_level"":""95"",""kind"":""combined"",""value"":""0.1""}]",10.1016/j.fluid.2008.01.024;10.1016/j.fluid.2009.07.009,10.1016/j.fluid.2008.01.024;10.1016/j.fluid.2009.07.009;arXiv:1506.00262,2,1,p1_thermoml_zero_frequency_pure_293.15_303.15K;chodera_2015_historical_dielectric_crosscheck,true,zero_frequency|pure_component|experimental|historical_fallback_target,,,,,,,
UODQEMVTULZGKO-UHFFFAOYSA-N,CCCCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"1-pentyl-1-methylpyrrolidinium 1,1,1-trifluoro-N-[(trifluoromethyl)sulfonyl]methanesulfonamide",298.15,12.5,1.2,1.2,combined,95,"[{""confidence_level"":""95"",""kind"":""combined"",""value"":""1.2""}]",10.1021/je101184s,10.1021/je101184s,1,0,p1_thermoml_zero_frequency_pure_293.15_303.15K,false,zero_frequency|pure_component|experimental,,,,,,,
UPCXAARSWVHVLY-UHFFFAOYSA-N,CC(=O)O.OCCN(CCO)CCO,triethanolammonium acetate,298.15,31,3,3,combined,95,"[{""confidence_level"":""95"",""kind"":""combined"",""value"":""3""}]",10.1021/je101184s,10.1021/je101184s,1,0,p1_thermoml_zero_frequency_pure_293.15_303.15K,false,zero_frequency|pure_component|experimental,,,,,,,
UWHCKJMYHZGTIT-UHFFFAOYSA-N,OCCOCCOCCOCCO,tetraethylene glycol,298.15,19.91,0.04,0.04,combined,95,"[{""confidence_level"":""95"",""kind"":""combined"",""value"":""0.04""}]",10.1016/j.jct.2007.09.004,10.1016/j.jct.2007.09.004,3,0,p1_thermoml_zero_frequency_pure_293.15_303.15K,false,zero_frequency|pure_component|experimental,,,,,,,
VCAIYEJBOWHUGP-UHFFFAOYSA-N,CCCCn1cc[n+](C)c1C.F[B-](F)(F)F,"1-butyl-2,3-dimethylimidazolium tetrafluoroborate",298.15,13.3,1.2,1.2,combined,95,"[{""confidence_level"":""95"",""kind"":""combined"",""value"":""1.2""}]",10.1021/je101184s,10.1021/je101184s,1,0,p1_thermoml_zero_frequency_pure_293.15_303.15K,false,zero_frequency|pure_component|experimental,,,,,,,
VFTFKUDGYRBSAL-UHFFFAOYSA-N,C1COCCOCCOCCOCCO1,"1,4,7,10,13-pentaoxacyclopentadecane",298.15,15.48,0.15,0.15,combined,95,"[{""confidence_level"":""95"",""kind"":""combined"",""value"":""0.15""},{""confidence_level"":""95"",""kind"":""combined"",""value"":""0.16""}]",10.1021/je300234g,10.1021/je300234g,5,0,p1_thermoml_zero_frequency_pure_293.15_303.15K,false,zero_frequency|pure_component|experimental,,,,,,,
VRFOKYHDLYBVAL-UHFFFAOYSA-M,CCOS(=O)(=O)[O-].CCn1cc[n+](C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,298.15,35,3,3,combined,95,"[{""confidence_level"":""95"",""kind"":""combined"",""value"":""3""}]",10.1021/je101184s,10.1021/je101184s,1,0,p1_thermoml_zero_frequency_pure_293.15_303.15K,false,zero_frequency|pure_component|experimental,,,,,,,
VVLAIYIMMFWRFW-UHFFFAOYSA-N,CC(=O)O.NCCO,2-hydroxyethylammonium acetate,298.15,58.3,5,5,combined,95,"[{""confidence_level"":""95"",""kind"":""combined"",""value"":""5""}]",10.1021/je101184s,10.1021/je101184s,1,0,p1_thermoml_zero_frequency_pure_293.15_303.15K,false,zero_frequency|pure_component|experimental,,,,,,,
WYJOVVXUZNRJQY-UHFFFAOYSA-N,CC(=O)c1cccs1,2-acetylthiophene,298.15,29.19,0.29,0.29,combined,95,"[{""confidence_level"":""95"",""kind"":""combined"",""value"":""0.28""},{""confidence_level"":""95"",""kind"":""combined"",""value"":""0.29""},{""confidence_level"":""95"",""kind"":""combined"",""value"":""0.3""}]",10.1016/j.fluid.2016.10.026,10.1016/j.fluid.2016.10.026,5,0,p1_thermoml_zero_frequency_pure_293.15_303.15K,false,zero_frequency|pure_component|experimental,,,,,,,
WZLFPVPRZGTCKP-UHFFFAOYSA-N,CC(F)(F)CC(F)(F)F,"1,1,1,3,3-pentafluorobutane",298.115,11.8861,0.0111,0.0111,combined,95,"[{""confidence_level"":""95"",""kind"":""combined"",""value"":""0.011""},{""confidence_level"":""95"",""kind"":""combined"",""value"":""0.0111""}]",10.1021/je700343t,10.1021/je700343t,32,0,p1_thermoml_zero_frequency_pure_293.15_303.15K,false,zero_frequency|pure_component|experimental,,,,,,,
XDJYSDBSJWNTQT-UHFFFAOYSA-N,CCn1cc[n+](C)c1C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"1-ethyl-2,3-dimethylimidazolium bis[(trifluoromethyl)sulfonyl]imide",298.15,12.8,0.8,0.8,combined,95,"[{""confidence_level"":""95"",""kind"":""combined"",""value"":""0.8""}]",10.1021/je101184s,10.1021/je101184s,1,0,p1_thermoml_zero_frequency_pure_293.15_303.15K,false,zero_frequency|pure_component|experimental,,,,,,,
XDTMQSROBMDMFD-UHFFFAOYSA-N,C1CCCCC1,cyclohexane,298.15,2.02,0.288,0.288,combined,95,"[{""confidence_level"":""95"",""kind"":""combined"",""value"":""0.01""},{""confidence_level"":""95"",""kind"":""combined"",""value"":""0.288""},{""confidence_level"":""95"",""kind"":""combined"",""value"":""0.29""}]",10.1016/j.jct.2012.04.011;10.1021/acs.jced.8b00755,10.1016/j.jct.2012.04.011;10.1021/acs.jced.8b00755,3,0,p1_thermoml_zero_frequency_pure_293.15_303.15K,false,zero_frequency|pure_component|experimental,,,,,,,
XLYOFNOQVPJJNP-UHFFFAOYSA-N,O,water,297.575,78.87,0.1,0.1,combined,95,"[{""confidence_level"":""95"",""kind"":""combined"",""value"":""0.1""},{""confidence_level"":""95"",""kind"":""combined"",""value"":""0.25""},{""confidence_level"":""95"",""kind"":""combined"",""value"":""8.48""}]",10.1016/j.fluid.2014.05.006;10.1016/j.jct.2012.08.009;10.1021/je400149j,10.1016/j.fluid.2014.05.006;10.1016/j.jct.2012.08.009;10.1021/je400149j;arXiv:1506.00262,8,11,p1_thermoml_zero_frequency_pure_293.15_303.15K;chodera_2015_historical_dielectric_crosscheck,true,zero_frequency|pure_component|experimental|historical_fallback_target,,,,,,,
XQQZRZQVBFHBHL-UHFFFAOYSA-N,C1COCCOCCOCCO1,"1,4,7,10-tetraoxacyclododecane",299.4,10.76,0.11,0.11,combined,95,"[{""confidence_level"":""95"",""kind"":""combined"",""value"":""0.11""}]",10.1021/je300234g,10.1021/je300234g,4,0,p1_thermoml_zero_frequency_pure_293.15_303.15K,false,zero_frequency|pure_component|experimental,,,,,,,
XTHFKEDIFFGKHM-UHFFFAOYSA-N,COCCOC,"1,2-dimethoxyethane",298.15,7.0695,0.1405,0.1405,combined,95,"[{""confidence_level"":""95"",""kind"":""combined"",""value"":""0.14""},{""confidence_level"":""95"",""kind"":""combined"",""value"":""0.141""}]",10.1016/j.jct.2008.09.006;10.1016/j.jct.2010.09.008,10.1016/j.jct.2008.09.006;10.1016/j.jct.2010.09.008;arXiv:1506.00262,2,5,p1_thermoml_zero_frequency_pure_293.15_303.15K;chodera_2015_historical_dielectric_crosscheck,true,zero_frequency|pure_component|experimental|historical_fallback_target,,,,,,,
YEJRWHAVMIAJKC-UHFFFAOYSA-N,O=C1CCCO1,.gamma.-butyrolactone,295.65,41.99,0.06,0.06,combined,95,"[{""confidence_level"":""95"",""kind"":""combined"",""value"":""0.06""}]",10.1021/je900503p,10.1021/je900503p;arXiv:1506.00262,4,4,p1_thermoml_zero_frequency_pure_293.15_303.15K;chodera_2015_historical_dielectric_crosscheck,true,zero_frequency|pure_component|experimental|historical_fallback_target,,,,,,,
YEYKMVJDLWJFOA-UHFFFAOYSA-N,CCCOCCO,2-propoxyethanol,298.15,11.5,0.04,0.04,combined,95,"[{""confidence_level"":""95"",""kind"":""combined"",""value"":""0.04""}]",10.1016/j.jct.2007.09.004,10.1016/j.jct.2007.09.004;arXiv:1506.00262,3,3,p1_thermoml_zero_frequency_pure_293.15_303.15K;chodera_2015_historical_dielectric_crosscheck,true,zero_frequency|pure_component|experimental|historical_fallback_target,,,,,,,
YFMFNYKEUDLDTL-UHFFFAOYSA-N,FC(C(F)(F)F)C(F)(F)F,"1,1,1,2,3,3,3-heptafluoropropane",302.85,4.1348,0.011,0.011,combined,95,"[{""confidence_level"":""95"",""kind"":""combined"",""value"":""0.011""}]",10.1021/je700343t,10.1021/je700343t,29,0,p1_thermoml_zero_frequency_pure_293.15_303.15K,false,zero_frequency|pure_component|experimental,,,,,,,
YFNKIDBQEZZDLK-UHFFFAOYSA-N,COCCOCCOCCOC,"2,5,8,11-tetraoxadodecane",298.15,7.604,0.151,0.151,combined,95,"[{""confidence_level"":""95"",""kind"":""combined"",""value"":""0.15""},{""confidence_level"":""95"",""kind"":""combined"",""value"":""0.152""}]",10.1016/j.jct.2008.02.015;10.1016/j.jct.2010.09.008,10.1016/j.jct.2008.02.015;10.1016/j.jct.2010.09.008,2,0,p1_thermoml_zero_frequency_pure_293.15_303.15K,false,zero_frequency|pure_component|experimental,,,,,,,
YIWUKEYIRIRTPP-UHFFFAOYSA-N,CCCCC(CC)CO,2-ethyl-1-hexanol,298.2,7.353,0.022,0.022,combined,95,"[{""confidence_level"":""95"",""kind"":""combined"",""value"":""0.022""}]",10.1016/j.jct.2011.07.021,10.1016/j.jct.2011.07.021;arXiv:1506.00262,1,3,p1_thermoml_zero_frequency_pure_293.15_303.15K;chodera_2015_historical_dielectric_crosscheck,true,zero_frequency|pure_component|experimental|historical_fallback_target,,,,,,,
YXFVVABEGXRONW-UHFFFAOYSA-N,Cc1ccccc1,toluene,297.385,2.40445,0.004,0.004,combined,95,"[{""confidence_level"":""95"",""kind"":""combined"",""value"":""0.004""},{""confidence_level"":""95"",""kind"":""combined"",""value"":""0.006""},{""confidence_level"":""95"",""kind"":""combined"",""value"":""0.01""}]",10.1016/j.jct.2012.04.011;10.1021/je7006692,10.1016/j.jct.2012.04.011;10.1021/je7006692,8,0,p1_thermoml_zero_frequency_pure_293.15_303.15K,false,zero_frequency|pure_component|experimental,,,,,,,
ZBCBWPMODOFKDW-UHFFFAOYSA-N,OCCNCCO,diethanolamine,303.15,24.69,0.49,0.49,combined,95,"[{""confidence_level"":""95"",""kind"":""combined"",""value"":""0.49""}]",10.1021/je600515j,10.1021/je600515j;arXiv:1506.00262,1,6,p1_thermoml_zero_frequency_pure_293.15_303.15K;chodera_2015_historical_dielectric_crosscheck,true,zero_frequency|pure_component|experimental|historical_fallback_target,,,,,,,
ZHNUHDYFZUAESO-UHFFFAOYSA-N,N=CO,formamide,303.15,106.14,0.325,0.325,combined,95,"[{""confidence_level"":""95"",""kind"":""combined"",""value"":""0.01""},{""confidence_level"":""95"",""kind"":""combined"",""value"":""0.64""}]",10.1016/j.fluid.2008.01.024;10.1016/j.fluid.2009.07.009,10.1016/j.fluid.2008.01.024;10.1016/j.fluid.2009.07.009;arXiv:1506.00262,2,1,p1_thermoml_zero_frequency_pure_293.15_303.15K;chodera_2015_historical_dielectric_crosscheck,true,zero_frequency|pure_component|experimental|historical_fallback_target,,,,,,,
ZIBGPFATKBEMQZ-UHFFFAOYSA-N,OCCOCCOCCO,triethylene glycol,298.15,23.07,0.04,0.04,combined,95,"[{""confidence_level"":""95"",""kind"":""combined"",""value"":""0.04""}]",10.1016/j.jct.2007.09.004,10.1016/j.jct.2007.09.004;arXiv:1506.00262,3,3,p1_thermoml_zero_frequency_pure_293.15_303.15K;chodera_2015_historical_dielectric_crosscheck,true,zero_frequency|pure_component|experimental|historical_fallback_target,,,,,,,
ZMXDDKWLCZADIW-UHFFFAOYSA-N,CN(C)C=O,dimethylformamide,302.73,36.55,0.0345,0.0345,combined,95,"[{""confidence_level"":""95"",""kind"":""combined"",""value"":""0.001""},{""confidence_level"":""95"",""kind"":""combined"",""value"":""0.029""},{""confidence_level"":""95"",""kind"":""combined"",""value"":""0.03""},{""confidence_level"":""95"",""kind"":""combined"",""value"":""0.034""},{""confidence_level"":""95"",""kind"":""combined"",""value"":""0.035""},{""confidence_level"":""95"",""kind"":""combined"",""value"":""0.22""}]",10.1016/j.fluid.2008.01.024;10.1016/j.fluid.2009.07.009;10.1021/je9010773,10.1016/j.fluid.2008.01.024;10.1016/j.fluid.2009.07.009;10.1021/je9010773;arXiv:1506.00262,26,1,p1_thermoml_zero_frequency_pure_293.15_303.15K;chodera_2015_historical_dielectric_crosscheck,true,zero_frequency|pure_component|experimental|historical_fallback_target,,,,,,,
ZPTRYWVRCNOTAS-UHFFFAOYSA-M,CCn1cc[n+](C)c1.O=S(=O)([O-])C(F)(F)F,1-ethyl-3-methylimidazolium trifluoromethanesulfonate,298.15,16.5,1,1,combined,95,"[{""confidence_level"":""95"",""kind"":""combined"",""value"":""1""}]",10.1021/je101184s,10.1021/je101184s,1,0,p1_thermoml_zero_frequency_pure_293.15_303.15K,false,zero_frequency|pure_component|experimental,,,,,,,
ZSIAUFGUXNUGDI-UHFFFAOYSA-N,CCCCCCO,hexan-1-ol,298.15,14.26,0.03,0.03,combined,95,"[{""confidence_level"":""95"",""kind"":""combined"",""value"":""0.03""},{""confidence_level"":""95"",""kind"":""combined"",""value"":""0.62""}]",10.1021/acs.jced.8b00755;10.1021/je060248p,10.1021/acs.jced.8b00755;10.1021/je060248p,8,0,p1_thermoml_zero_frequency_pure_293.15_303.15K,false,zero_frequency|pure_component|experimental,,,,,,,
ZTOMUSMDRMJOTH-UHFFFAOYSA-N,N#CCCCC#N,pentanedinitrile,298.15,34.6,0.1,0.1,combined,95,"[{""confidence_level"":""95"",""kind"":""combined"",""value"":""0.1""}]",10.1021/je300958c,10.1021/je300958c,5,0,p1_thermoml_zero_frequency_pure_293.15_303.15K,false,zero_frequency|pure_component|experimental,,,,,,,
ZUHZGEOKBKGPSW-UHFFFAOYSA-N,COCCOCCOCCOCCOC,"2,5,8,11,14-pentaoxapentadecane",298.15,7.798,0.4655,0.4655,combined,95,"[{""confidence_level"":""95"",""kind"":""combined"",""value"":""0.16""},{""confidence_level"":""95"",""kind"":""combined"",""value"":""0.462""},{""confidence_level"":""95"",""kind"":""combined"",""value"":""0.469""},{""confidence_level"":""95"",""kind"":""combined"",""value"":""0.476""}]",10.1016/j.jct.2010.09.008;10.1016/j.tca.2012.10.024,10.1016/j.jct.2010.09.008;10.1016/j.tca.2012.10.024,4,0,p1_thermoml_zero_frequency_pure_293.15_303.15K,false,zero_frequency|pure_component|experimental,,,,,,,
ZXEKIIBDNHEJCQ-UHFFFAOYSA-N,CC(C)CO,2-methyl-1-propanol,298.15,17.96,0.06,0.06,combined,95,"[{""confidence_level"":""95"",""kind"":""combined"",""value"":""0.06""}]",10.1021/je3007666;10.1021/je800593p,10.1021/je3007666;10.1021/je800593p;arXiv:1506.00262,6,5,p1_thermoml_zero_frequency_pure_293.15_303.15K;chodera_2015_historical_dielectric_crosscheck,true,zero_frequency|pure_component|experimental|historical_fallback_target,,,,,,,
HXDLWJWIAHWIKI-UHFFFAOYSA-N,CC(=O)OCCO,beta-Hydroxyethyl acetate (Glycol monoacetate),303.15,13.0,,,not_reported,,[],10.6028/nbs.circ.514,10.6028/nbs.circ.514,1,0,nbs514_manual_static_293.15_303.15K,false,zero_frequency|pure_component|experimental|literature_manual_entry|single_source|nbs514_circular_514,nbs514:p20:025,20,three_figures,1,pubchem,false,0.000000
IYXGSMUGOJNHAZ-UHFFFAOYSA-N,CCOC(=O)CC(=O)OCC,Diethyl malonate,298.15,8.03,,,not_reported,,[],10.6028/nbs.circ.514,10.6028/nbs.circ.514,1,0,nbs514_manual_static_293.15_303.15K,false,zero_frequency|pure_component|experimental|literature_manual_entry|single_source|nbs514_circular_514,nbs514:p32:005,32,three_figures,2,pubchem,false,0.000000
SVONRAPFKPVNKG-UHFFFAOYSA-N,CCOCCOC(C)=O,"beta-Ethoxyethyl acetate (""Cellosolve"" acetate)",303.15,7.57,,,not_reported,,[],10.6028/nbs.circ.514,10.6028/nbs.circ.514,1,0,nbs514_manual_static_293.15_303.15K,false,zero_frequency|pure_component|experimental|literature_manual_entry|single_source|nbs514_circular_514,nbs514:p29:003,29,three_figures,3,pubchem,false,0.000000
KXKVLQRXCPHEJC-UHFFFAOYSA-N,COC(C)=O,Methyl acetate,298.15,6.68,,,not_reported,,[],10.6028/nbs.circ.514,10.6028/nbs.circ.514,1,0,nbs514_manual_static_293.15_303.15K,false,zero_frequency|pure_component|experimental|literature_manual_entry|single_source|nbs514_circular_514,nbs514:p18:009,18,three_figures,4,pubchem,false,0.000000
XEKOWRVHYACXOJ-UHFFFAOYSA-N,CCOC(C)=O,Ethyl acetate,298.15,6.02,,,not_reported,,[],10.6028/nbs.circ.514,10.6028/nbs.circ.514,1,0,nbs514_manual_static_293.15_303.15K,false,zero_frequency|pure_component|experimental|literature_manual_entry|single_source|nbs514_circular_514,nbs514:p20:022,20,three_figures,5,pubchem,false,0.000000
DIQMPQMYFZXDAX-UHFFFAOYSA-N,CCCCCOC=O,Amyl formate,298.15,6.49,,,not_reported,,[],10.6028/nbs.circ.514,10.6028/nbs.circ.514,1,0,nbs514_manual_static_293.15_303.15K,false,zero_frequency|pure_component|experimental|literature_manual_entry|single_source|nbs514_circular_514,nbs514:p28:016,28,three_figures,6,pubchem,false,0.000000
DKPFZGUDAPQIHT-UHFFFAOYSA-N,CCCCOC(C)=O,Butyl acetate,293.15,5.01,,,not_reported,,[],10.6028/nbs.circ.514,10.6028/nbs.circ.514,1,0,nbs514_manual_static_293.15_303.15K,false,zero_frequency|pure_component|experimental|literature_manual_entry|single_source|nbs514_circular_514,nbs514:p28:017,28,three_figures,7,pubchem,false,0.000000
GJRQTCIYDGXPES-UHFFFAOYSA-N,CC(=O)OCC(C)C,Isobutyl acetate,293.15,5.29,,,not_reported,,[],10.6028/nbs.circ.514,10.6028/nbs.circ.514,1,0,nbs514_manual_static_293.15_303.15K,false,zero_frequency|pure_component|experimental|literature_manual_entry|single_source|nbs514_circular_514,nbs514:p28:018,28,three_figures,8,pubchem,false,0.000000
