inchikey,smiles,name,T_K,dielectric,uncertainty,uncertainty_value,uncertainty_kind,confidence_level,uncertainty_json,source_doi,source_dois_all,n_observations,n_historical_observations,source_scope,crosscheck_available,gate_flags,source_record_id,source_page,source_quality,selection_rank,structure_resolution_source,al_round1_hit,max_tanimoto_solvfunc,dataset_origin,temperature_band,evidence_level,temperature_source,model_ready,conflict_status,source_url,source_citation,source_table,redistribution_status,source_license,license_url,redistribution_conditions,notes
LBHLGZNUPKUZJC-UHFFFAOYSA-N,CCCC[N+]1(C)CCCC1.N#C[N-]C#N,1-butyl-1-methylpyrrolidinium dicyanamide,298.15,18,1.6,1.6,combined,95,"[{""confidence_level"":""95"",""kind"":""combined"",""value"":""1.6""}]",10.1021/je101184s,10.1021/je101184s,1,0,p1_thermoml_zero_frequency_pure_293.15_303.15K,false,zero_frequency|pure_component|experimental,,,,,,,,v0.2,room_temperature,v0.2_primary_or_critical_compilation,reported,true,,,,,,,,,
LFQSCWFLJHTTHZ-UHFFFAOYSA-N,CCO,ethanol,298.15,25.02,0.06,0.06,combined,95,"[{""confidence_level"":""95"",""kind"":""combined"",""value"":""0.05""},{""confidence_level"":""95"",""kind"":""combined"",""value"":""0.06""},{""confidence_level"":""95"",""kind"":""combined"",""value"":""0.08""},{""confidence_level"":""95"",""kind"":""combined"",""value"":""0.14""},{""confidence_level"":""95"",""kind"":""combined"",""value"":""0.84""},{""confidence_level"":""95"",""kind"":""combined"",""value"":""0.97""},{""confidence_level"":""95"",""kind"":""combined"",""value"":""2.4""}]",10.1016/j.fluid.2009.07.009;10.1016/j.fluid.2013.12.014;10.1016/j.jct.2012.08.009;10.1016/j.tca.2013.05.022;10.1021/acs.jced.8b00755;10.1021/je060248p;10.1021/je800593p,10.1016/j.fluid.2009.07.009;10.1016/j.fluid.2013.12.014;10.1016/j.jct.2012.08.009;10.1016/j.tca.2013.05.022;10.1021/acs.jced.8b00755;10.1021/je060248p;10.1021/je800593p;arXiv:1506.00262,15,6,p1_thermoml_zero_frequency_pure_293.15_303.15K;chodera_2015_historical_dielectric_crosscheck,true,zero_frequency|pure_component|experimental|historical_fallback_target,,,,,,,,v0.2,room_temperature,v0.2_primary_or_critical_compilation,reported,true,,,,,,,,,
LLEVMYXEJUDBTA-UHFFFAOYSA-N,N#CCCCCCC#N,heptanedinitrile,298.15,29.71,0.1,0.1,combined,95,"[{""confidence_level"":""95"",""kind"":""combined"",""value"":""0.1""}]",10.1021/je300958c,10.1021/je300958c,5,0,p1_thermoml_zero_frequency_pure_293.15_303.15K,false,zero_frequency|pure_component|experimental,,,,,,,,v0.2,room_temperature,v0.2_primary_or_critical_compilation,reported,true,,,,,,,,,
LRHPLDYGYMQRHN-UHFFFAOYSA-N,CCCCO,butan-1-ol,298.15,18.03,0.06,0.06,combined,95,"[{""confidence_level"":""95"",""kind"":""combined"",""value"":""0.04""},{""confidence_level"":""95"",""kind"":""combined"",""value"":""0.06""},{""confidence_level"":""95"",""kind"":""combined"",""value"":""0.71""},{""confidence_level"":""95"",""kind"":""combined"",""value"":""1.9""}]",10.1016/j.fluid.2013.12.014;10.1021/acs.jced.8b00755;10.1021/je060248p;10.1021/je3007666;10.1021/je800593p;10.1021/je900503p,10.1016/j.fluid.2013.12.014;10.1021/acs.jced.8b00755;10.1021/je060248p;10.1021/je3007666;10.1021/je800593p;10.1021/je900503p;arXiv:1506.00262,18,7,p1_thermoml_zero_frequency_pure_293.15_303.15K;chodera_2015_historical_dielectric_crosscheck,true,zero_frequency|pure_component|experimental|historical_fallback_target,,,,,,,,v0.2,room_temperature,v0.2_primary_or_critical_compilation,reported,true,,,,,,,,,
LSBXQLQATZTAPE-UHFFFAOYSA-N,CCCCn1cc[n+](C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,298.15,13.9,0.8,0.8,combined,95,"[{""confidence_level"":""95"",""kind"":""combined"",""value"":""0.8""}]",10.1021/je101184s,10.1021/je101184s,1,0,p1_thermoml_zero_frequency_pure_293.15_303.15K,false,zero_frequency|pure_component|experimental,,,,,,,,v0.2,room_temperature,v0.2_primary_or_critical_compilation,reported,true,,,,,,,,,
LVTYICIALWPMFW-UHFFFAOYSA-N,CC(O)CNCC(C)O,N-(2-hydroxypropyl)-2-hydroxy-1-propanamine,303.15,13.87,0.28,0.28,combined,95,"[{""confidence_level"":""95"",""kind"":""combined"",""value"":""0.28""}]",10.1021/je600515j,10.1021/je600515j;arXiv:1506.00262,1,2,p1_thermoml_zero_frequency_pure_293.15_303.15K;chodera_2015_historical_dielectric_crosscheck,true,zero_frequency|pure_component|experimental|historical_fallback_target,,,,,,,,v0.2,room_temperature,v0.2_primary_or_critical_compilation,reported,true,,,,,,,,,
LYCAIKOWRPUZTN-UHFFFAOYSA-N,OCCO,"1,2-ethanediol",303.15,39.84,0.24,0.24,combined,95,"[{""confidence_level"":""95"",""kind"":""combined"",""value"":""0.24""}]",10.1016/j.fluid.2009.07.009,10.1016/j.fluid.2009.07.009;arXiv:1506.00262,1,1,p1_thermoml_zero_frequency_pure_293.15_303.15K;chodera_2015_historical_dielectric_crosscheck,true,zero_frequency|pure_component|experimental|historical_fallback_target,,,,,,,,v0.2,room_temperature,v0.2_primary_or_critical_compilation,reported,true,,,,,,,,,
LZJIBRSVPKKOSI-UHFFFAOYSA-O,O=[N+]([O-])[O-].[NH3+]CCO,ethanolammonium nitrate,298.15,60.9,4,4,combined,95,"[{""confidence_level"":""95"",""kind"":""combined"",""value"":""4""}]",10.1021/je101184s,10.1021/je101184s,1,0,p1_thermoml_zero_frequency_pure_293.15_303.15K,false,zero_frequency|pure_component|experimental,,,,,,,,v0.2,room_temperature,v0.2_primary_or_critical_compilation,reported,true,,,,,,,,,
MCTWTZJPVLRJOU-UHFFFAOYSA-N,Cn1ccnc1,1-methylimidazole,298,39.78,4.22,4.22,combined,95,"[{""confidence_level"":""95"",""kind"":""combined"",""value"":""4.22""}]",10.1016/j.fluid.2014.05.006,10.1016/j.fluid.2014.05.006,1,0,p1_thermoml_zero_frequency_pure_293.15_303.15K,false,zero_frequency|pure_component|experimental,,,,,,,,v0.2,room_temperature,v0.2_primary_or_critical_compilation,reported,true,,,,,,,,,
MTHSVFCYNBDYFN-UHFFFAOYSA-N,OCCOCCO,diethylene glycol,298.15,30.95,0.04,0.04,combined,95,"[{""confidence_level"":""95"",""kind"":""combined"",""value"":""0.04""}]",10.1016/j.jct.2007.09.004,10.1016/j.jct.2007.09.004;arXiv:1506.00262,3,3,p1_thermoml_zero_frequency_pure_293.15_303.15K;chodera_2015_historical_dielectric_crosscheck,true,zero_frequency|pure_component|experimental|historical_fallback_target,,,,,,,,v0.2,room_temperature,v0.2_primary_or_critical_compilation,reported,true,,,,,,,,,
MWKFXSUHUHTGQN-UHFFFAOYSA-N,CCCCCCCCCCO,decan-1-ol,298.15,7.74,0.49,0.49,combined,95,"[{""confidence_level"":""95"",""kind"":""combined"",""value"":""0.49""}]",10.1021/acs.jced.8b00755,10.1021/acs.jced.8b00755,1,0,p1_thermoml_zero_frequency_pure_293.15_303.15K,false,zero_frequency|pure_component|experimental,,,,,,,,v0.2,room_temperature,v0.2_primary_or_critical_compilation,reported,true,,,,,,,,,
NEQXUPRFDXNNTA-UHFFFAOYSA-N,CC(O)C(=O)O.NCCO,2-hydroxyethylammonium lactate,298.15,85.6,8,8,combined,95,"[{""confidence_level"":""95"",""kind"":""combined"",""value"":""8""}]",10.1021/je101184s,10.1021/je101184s,1,0,p1_thermoml_zero_frequency_pure_293.15_303.15K,false,zero_frequency|pure_component|experimental,,,,,,,,v0.2,room_temperature,v0.2_primary_or_critical_compilation,reported,true,,,,,,,,,
OHLUUHNLEMFGTQ-UHFFFAOYSA-N,CN=C(C)O,N-methylacetamide,303.15,178.47,1.785,1.785,combined,95,"[{""confidence_level"":""95"",""kind"":""combined"",""value"":""1.785""}]",10.1021/je9002515,10.1021/je9002515;arXiv:1506.00262,1,2,p1_thermoml_zero_frequency_pure_293.15_303.15K;chodera_2015_historical_dielectric_crosscheck,true,zero_frequency|pure_component|experimental|historical_fallback_target,,,,,,,,v0.2,room_temperature,v0.2_primary_or_critical_compilation,reported,true,,,,,,,,,
OIFBSDVPJOWBCH-UHFFFAOYSA-N,CCOC(=O)OCC,diethyl carbonate,298.15,2.834,0.057,0.057,combined,95,"[{""confidence_level"":""95"",""kind"":""combined"",""value"":""0.057""}]",10.1016/j.jct.2008.02.015,10.1016/j.jct.2008.02.015;arXiv:1506.00262,1,5,p1_thermoml_zero_frequency_pure_293.15_303.15K;chodera_2015_historical_dielectric_crosscheck,true,zero_frequency|pure_component|experimental|historical_fallback_target,,,,,,,,v0.2,room_temperature,v0.2_primary_or_critical_compilation,reported,true,,,,,,,,,
OKKJLVBELUTLKV-UHFFFAOYSA-N,CO,methanol,298.15,33.6,0.07,0.07,combined,95,"[{""confidence_level"":""95"",""kind"":""combined"",""value"":""0.06""},{""confidence_level"":""95"",""kind"":""combined"",""value"":""0.07""},{""confidence_level"":""95"",""kind"":""combined"",""value"":""0.08""},{""confidence_level"":""95"",""kind"":""combined"",""value"":""0.11""},{""confidence_level"":""95"",""kind"":""combined"",""value"":""1.33""},{""confidence_level"":""95"",""kind"":""combined"",""value"":""3.5""}]",10.1016/j.fluid.2013.12.014;10.1016/j.jct.2012.08.009;10.1016/j.tca.2013.05.022;10.1021/je060248p;10.1021/je800593p,10.1016/j.fluid.2013.12.014;10.1016/j.jct.2012.08.009;10.1016/j.tca.2013.05.022;10.1021/je060248p;10.1021/je800593p;arXiv:1506.00262,13,6,p1_thermoml_zero_frequency_pure_293.15_303.15K;chodera_2015_historical_dielectric_crosscheck,true,zero_frequency|pure_component|experimental|historical_fallback_target,,,,,,,,v0.2,room_temperature,v0.2_primary_or_critical_compilation,reported,true,,,,,,,,,
OOKUTCYPKPJYFV-UHFFFAOYSA-N,Br.Cn1ccnc1,1-methylimidazolium bromide,298.15,16.6,2.4,2.4,combined,95,"[{""confidence_level"":""95"",""kind"":""combined"",""value"":""2.4""}]",10.1021/je101184s,10.1021/je101184s,1,0,p1_thermoml_zero_frequency_pure_293.15_303.15K,false,zero_frequency|pure_component|experimental,,,,,,,,v0.2,room_temperature,v0.2_primary_or_critical_compilation,reported,true,,,,,,,,,
PEDCQBHIVMGVHV-UHFFFAOYSA-N,OCC(O)CO,glycerol,303.15,41.17,0.25,0.25,combined,95,"[{""confidence_level"":""95"",""kind"":""combined"",""value"":""0.25""}]",10.1016/j.fluid.2008.01.024;10.1016/j.fluid.2009.07.009,10.1016/j.fluid.2008.01.024;10.1016/j.fluid.2009.07.009;arXiv:1506.00262,2,1,p1_thermoml_zero_frequency_pure_293.15_303.15K;chodera_2015_historical_dielectric_crosscheck,true,zero_frequency|pure_component|experimental|historical_fallback_target,,,,,,,,v0.2,room_temperature,v0.2_primary_or_critical_compilation,reported,true,,,,,,,,,
QRCRANRUHQKZME-UHFFFAOYSA-N,CCCCn1c(C)c(C)[n+](C)c1C.F[B-](F)(F)F,"3-butyl-1,2,4,5-tetramethyl-1H-imidazol-3-ium tetrafluoroborate",298.15,12,1.2,1.2,combined,95,"[{""confidence_level"":""95"",""kind"":""combined"",""value"":""1.2""}]",10.1021/je101184s,10.1021/je101184s,1,0,p1_thermoml_zero_frequency_pure_293.15_303.15K,false,zero_frequency|pure_component|experimental,,,,,,,,v0.2,room_temperature,v0.2_primary_or_critical_compilation,reported,true,,,,,,,,,
QTBSBXVTEAMEQO-UHFFFAOYSA-N,CC(=O)O,acetic acid,293.15,6.15,0.02,0.02,combined,95,"[{""confidence_level"":""95"",""kind"":""combined"",""value"":""0.02""}]",10.1016/j.jct.2012.08.009,10.1016/j.jct.2012.08.009,1,0,p1_thermoml_zero_frequency_pure_293.15_303.15K,false,zero_frequency|pure_component|experimental,,,,,,,,v0.2,room_temperature,v0.2_primary_or_critical_compilation,reported,true,,,,,,,,,
RJQQOKKINHMXIM-UHFFFAOYSA-N,CC(O)C(=O)O.OCCN(CCO)CCO,triethanolamine lactate,298.15,59.7,6,6,combined,95,"[{""confidence_level"":""95"",""kind"":""combined"",""value"":""6""}]",10.1021/je101184s,10.1021/je101184s,1,0,p1_thermoml_zero_frequency_pure_293.15_303.15K,false,zero_frequency|pure_component|experimental,,,,,,,,v0.2,room_temperature,v0.2_primary_or_critical_compilation,reported,true,,,,,,,,,
RYHBNJHYFVUHQT-UHFFFAOYSA-N,C1COCCO1,"1,4-dioxane",298.2,2.228,0.01,0.01,combined,95,"[{""confidence_level"":""95"",""kind"":""combined"",""value"":""0.01""}]",10.1016/j.jct.2011.07.021,10.1016/j.jct.2011.07.021;arXiv:1506.00262,1,3,p1_thermoml_zero_frequency_pure_293.15_303.15K;chodera_2015_historical_dielectric_crosscheck,true,zero_frequency|pure_component|experimental|historical_fallback_target,,,,,,,,v0.2,room_temperature,v0.2_primary_or_critical_compilation,reported,true,,,,,,,,,
SBZXBUIDTXKZTM-UHFFFAOYSA-N,COCCOCCOC,"2,5,8-trioxanonane",298.15,7.3815,0.1485,0.1485,combined,95,"[{""confidence_level"":""95"",""kind"":""combined"",""value"":""0.147""},{""confidence_level"":""95"",""kind"":""combined"",""value"":""0.15""}]",10.1016/j.jct.2008.09.006;10.1016/j.jct.2010.09.008,10.1016/j.jct.2008.09.006;10.1016/j.jct.2010.09.008;arXiv:1506.00262;10.1002/adfm.202212342,2,5,p1_thermoml_zero_frequency_pure_293.15_303.15K;chodera_2015_historical_dielectric_crosscheck,true,zero_frequency|pure_component|experimental|historical_fallback_target,,,,,,,,v0.2,room_temperature,v0.2_primary_or_critical_compilation,reported,true,,,,,,,,,"Critical-compilation record: the stored value 7.3815 is the arithmetic mean of two pure-component zero-frequency ThermoML observations that agree within their uncertainties, 7.363 +/- 0.147 at 298.15 K (DOI 10.1016/j.jct.2008.09.006, dataset 7) and 7.4 +/- 0.15 at 298.15 K (DOI 10.1016/j.jct.2010.09.008, dataset 5). Both source DOIs are recorded in source_dois_all. ECW-308 Table S3 entry 96 (PDF p.74 / S73, DOI 10.1002/adfm.202212342) lists 7.40 at 25 C from a secondary compilation citing Huang et al., Adv. Mater. 2019, 31, 1808393. This agrees with the 2010 ThermoML observation; the stored value remains the mean of the two zero-frequency primary observations, and the secondary value was not averaged in. Source-tier check, 2026-09-24: the cited work (DOI 10.1002/adma.201808393) was checked through OpenAlex, Unpaywall, Europe PMC and PubMed and is a closed-access review rather than an original measurement, so the ECW-308 entry is a third-hand relay and is retained only as a consistency check."
SHQSVMDWKBRBGB-UHFFFAOYSA-N,O=C1CCC1,cyclobutanone,298.15,14.96,0.02,0.02,combined,95,"[{""confidence_level"":""95"",""kind"":""combined"",""value"":""0.02""}]",10.1021/je200682t,10.1021/je200682t,5,0,p1_thermoml_zero_frequency_pure_293.15_303.15K,false,zero_frequency|pure_component|experimental,,,,,,,,v0.2,room_temperature,v0.2_primary_or_critical_compilation,reported,true,,,,,,,,,
SIXHYMZEOJSYQH-UHFFFAOYSA-M,CCCCn1cc[n+](C)c1.N#C[S-],1-butyl-3-methylimidazolium thiocyanate,298.15,13.7,1.6,1.6,combined,95,"[{""confidence_level"":""95"",""kind"":""combined"",""value"":""1.6""}]",10.1021/je101184s,10.1021/je101184s,1,0,p1_thermoml_zero_frequency_pure_293.15_303.15K,false,zero_frequency|pure_component|experimental,,,,,,,,v0.2,room_temperature,v0.2_primary_or_critical_compilation,reported,true,,,,,,,,,
STCBHSHARMAIOM-UHFFFAOYSA-N,Cl.Cn1ccnc1,1-methylimidazolium chloride,298.15,13.8,2,2,combined,95,"[{""confidence_level"":""95"",""kind"":""combined"",""value"":""2""}]",10.1021/je101184s,10.1021/je101184s,1,0,p1_thermoml_zero_frequency_pure_293.15_303.15K,false,zero_frequency|pure_component|experimental,,,,,,,,v0.2,room_temperature,v0.2_primary_or_critical_compilation,reported,true,,,,,,,,,
TVMXDCGIABBOFY-UHFFFAOYSA-N,CCCCCCCC,octane,298.15,1.961,0.118,0.118,combined,95,"[{""confidence_level"":""95"",""kind"":""combined"",""value"":""0.117""},{""confidence_level"":""95"",""kind"":""combined"",""value"":""0.118""}]",10.1016/j.tca.2012.05.036;10.1016/j.tca.2012.10.024,10.1016/j.tca.2012.05.036;10.1016/j.tca.2012.10.024;arXiv:1506.00262,6,5,p1_thermoml_zero_frequency_pure_293.15_303.15K;chodera_2015_historical_dielectric_crosscheck,true,zero_frequency|pure_component|experimental|historical_fallback_target,,,,,,,,v0.2,room_temperature,v0.2_primary_or_critical_compilation,reported,true,,,,,,,,,
UAEPNZWRGJTJPN-UHFFFAOYSA-N,CC1CCCCC1,methylcyclohexane,298.2,2.01,0.01,0.01,combined,95,"[{""confidence_level"":""95"",""kind"":""combined"",""value"":""0.01""}]",10.1016/j.jct.2012.04.011,10.1016/j.jct.2012.04.011,1,0,p1_thermoml_zero_frequency_pure_293.15_303.15K,false,zero_frequency|pure_component|experimental,,,,,,,,v0.2,room_temperature,v0.2_primary_or_critical_compilation,reported,true,,,,,,,,,
UCCKRVYTJPMHRO-UHFFFAOYSA-N,CCCCn1cc[n+](C)c1C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"1-butyl-2,3-dimethyl-1H-imidazolium bis(trifluoromethylsulfonyl)amide",298.15,14,1.6,1.6,combined,95,"[{""confidence_level"":""95"",""kind"":""combined"",""value"":""1.6""}]",10.1021/je101184s,10.1021/je101184s,1,0,p1_thermoml_zero_frequency_pure_293.15_303.15K,false,zero_frequency|pure_component|experimental,,,,,,,,v0.2,room_temperature,v0.2_primary_or_critical_compilation,reported,true,,,,,,,,,
UEEJHVSXFDXPFK-UHFFFAOYSA-N,CN(C)CCO,"2-(N,N-dimethylamino)ethanol",303.15,17.18,0.1,0.1,combined,95,"[{""confidence_level"":""95"",""kind"":""combined"",""value"":""0.1""}]",10.1016/j.fluid.2008.01.024;10.1016/j.fluid.2009.07.009,10.1016/j.fluid.2008.01.024;10.1016/j.fluid.2009.07.009;arXiv:1506.00262,2,1,p1_thermoml_zero_frequency_pure_293.15_303.15K;chodera_2015_historical_dielectric_crosscheck,true,zero_frequency|pure_component|experimental|historical_fallback_target,,,,,,,,v0.2,room_temperature,v0.2_primary_or_critical_compilation,reported,true,,,,,,,,,
UODQEMVTULZGKO-UHFFFAOYSA-N,CCCCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"1-pentyl-1-methylpyrrolidinium 1,1,1-trifluoro-N-[(trifluoromethyl)sulfonyl]methanesulfonamide",298.15,12.5,1.2,1.2,combined,95,"[{""confidence_level"":""95"",""kind"":""combined"",""value"":""1.2""}]",10.1021/je101184s,10.1021/je101184s,1,0,p1_thermoml_zero_frequency_pure_293.15_303.15K,false,zero_frequency|pure_component|experimental,,,,,,,,v0.2,room_temperature,v0.2_primary_or_critical_compilation,reported,true,,,,,,,,,
UPCXAARSWVHVLY-UHFFFAOYSA-N,CC(=O)O.OCCN(CCO)CCO,triethanolammonium acetate,298.15,31,3,3,combined,95,"[{""confidence_level"":""95"",""kind"":""combined"",""value"":""3""}]",10.1021/je101184s,10.1021/je101184s,1,0,p1_thermoml_zero_frequency_pure_293.15_303.15K,false,zero_frequency|pure_component|experimental,,,,,,,,v0.2,room_temperature,v0.2_primary_or_critical_compilation,reported,true,,,,,,,,,
UWHCKJMYHZGTIT-UHFFFAOYSA-N,OCCOCCOCCOCCO,tetraethylene glycol,298.15,19.91,0.04,0.04,combined,95,"[{""confidence_level"":""95"",""kind"":""combined"",""value"":""0.04""}]",10.1016/j.jct.2007.09.004,10.1016/j.jct.2007.09.004,3,0,p1_thermoml_zero_frequency_pure_293.15_303.15K,false,zero_frequency|pure_component|experimental,,,,,,,,v0.2,room_temperature,v0.2_primary_or_critical_compilation,reported,true,,,,,,,,,
VCAIYEJBOWHUGP-UHFFFAOYSA-N,CCCCn1cc[n+](C)c1C.F[B-](F)(F)F,"1-butyl-2,3-dimethylimidazolium tetrafluoroborate",298.15,13.3,1.2,1.2,combined,95,"[{""confidence_level"":""95"",""kind"":""combined"",""value"":""1.2""}]",10.1021/je101184s,10.1021/je101184s,1,0,p1_thermoml_zero_frequency_pure_293.15_303.15K,false,zero_frequency|pure_component|experimental,,,,,,,,v0.2,room_temperature,v0.2_primary_or_critical_compilation,reported,true,,,,,,,,,
VFTFKUDGYRBSAL-UHFFFAOYSA-N,C1COCCOCCOCCOCCO1,"1,4,7,10,13-pentaoxacyclopentadecane",298.15,15.48,0.15,0.15,combined,95,"[{""confidence_level"":""95"",""kind"":""combined"",""value"":""0.15""},{""confidence_level"":""95"",""kind"":""combined"",""value"":""0.16""}]",10.1021/je300234g,10.1021/je300234g,5,0,p1_thermoml_zero_frequency_pure_293.15_303.15K,false,zero_frequency|pure_component|experimental,,,,,,,,v0.2,room_temperature,v0.2_primary_or_critical_compilation,reported,true,,,,,,,,,
VRFOKYHDLYBVAL-UHFFFAOYSA-M,CCOS(=O)(=O)[O-].CCn1cc[n+](C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,298.15,35,3,3,combined,95,"[{""confidence_level"":""95"",""kind"":""combined"",""value"":""3""}]",10.1021/je101184s,10.1021/je101184s,1,0,p1_thermoml_zero_frequency_pure_293.15_303.15K,false,zero_frequency|pure_component|experimental,,,,,,,,v0.2,room_temperature,v0.2_primary_or_critical_compilation,reported,true,,,,,,,,,
VVLAIYIMMFWRFW-UHFFFAOYSA-N,CC(=O)O.NCCO,2-hydroxyethylammonium acetate,298.15,58.3,5,5,combined,95,"[{""confidence_level"":""95"",""kind"":""combined"",""value"":""5""}]",10.1021/je101184s,10.1021/je101184s,1,0,p1_thermoml_zero_frequency_pure_293.15_303.15K,false,zero_frequency|pure_component|experimental,,,,,,,,v0.2,room_temperature,v0.2_primary_or_critical_compilation,reported,true,,,,,,,,,
WYJOVVXUZNRJQY-UHFFFAOYSA-N,CC(=O)c1cccs1,2-acetylthiophene,298.15,29.19,0.29,0.29,combined,95,"[{""confidence_level"":""95"",""kind"":""combined"",""value"":""0.28""},{""confidence_level"":""95"",""kind"":""combined"",""value"":""0.29""},{""confidence_level"":""95"",""kind"":""combined"",""value"":""0.3""}]",10.1016/j.fluid.2016.10.026,10.1016/j.fluid.2016.10.026,5,0,p1_thermoml_zero_frequency_pure_293.15_303.15K,false,zero_frequency|pure_component|experimental,,,,,,,,v0.2,room_temperature,v0.2_primary_or_critical_compilation,reported,true,,,,,,,,,
WZLFPVPRZGTCKP-UHFFFAOYSA-N,CC(F)(F)CC(F)(F)F,"1,1,1,3,3-pentafluorobutane",298.115,11.8861,0.0111,0.0111,combined,95,"[{""confidence_level"":""95"",""kind"":""combined"",""value"":""0.011""},{""confidence_level"":""95"",""kind"":""combined"",""value"":""0.0111""}]",10.1021/je700343t,10.1021/je700343t,32,0,p1_thermoml_zero_frequency_pure_293.15_303.15K,false,zero_frequency|pure_component|experimental,,,,,,,,v0.2,room_temperature,v0.2_primary_or_critical_compilation,reported,true,,,,,,,,,
XDJYSDBSJWNTQT-UHFFFAOYSA-N,CCn1cc[n+](C)c1C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"1-ethyl-2,3-dimethylimidazolium bis[(trifluoromethyl)sulfonyl]imide",298.15,12.8,0.8,0.8,combined,95,"[{""confidence_level"":""95"",""kind"":""combined"",""value"":""0.8""}]",10.1021/je101184s,10.1021/je101184s,1,0,p1_thermoml_zero_frequency_pure_293.15_303.15K,false,zero_frequency|pure_component|experimental,,,,,,,,v0.2,room_temperature,v0.2_primary_or_critical_compilation,reported,true,,,,,,,,,
XDTMQSROBMDMFD-UHFFFAOYSA-N,C1CCCCC1,cyclohexane,298.15,2.02,0.288,0.288,combined,95,"[{""confidence_level"":""95"",""kind"":""combined"",""value"":""0.01""},{""confidence_level"":""95"",""kind"":""combined"",""value"":""0.288""},{""confidence_level"":""95"",""kind"":""combined"",""value"":""0.29""}]",10.1016/j.jct.2012.04.011;10.1021/acs.jced.8b00755,10.1016/j.jct.2012.04.011;10.1021/acs.jced.8b00755,3,0,p1_thermoml_zero_frequency_pure_293.15_303.15K,false,zero_frequency|pure_component|experimental,,,,,,,,v0.2,room_temperature,v0.2_primary_or_critical_compilation,reported,true,,,,,,,,,
XLYOFNOQVPJJNP-UHFFFAOYSA-N,O,water,297.575,78.87,0.1,0.1,combined,95,"[{""confidence_level"":""95"",""kind"":""combined"",""value"":""0.1""},{""confidence_level"":""95"",""kind"":""combined"",""value"":""0.25""},{""confidence_level"":""95"",""kind"":""combined"",""value"":""8.48""}]",10.1016/j.fluid.2014.05.006;10.1016/j.jct.2012.08.009;10.1021/je400149j,10.1016/j.fluid.2014.05.006;10.1016/j.jct.2012.08.009;10.1021/je400149j;arXiv:1506.00262,8,11,p1_thermoml_zero_frequency_pure_293.15_303.15K;chodera_2015_historical_dielectric_crosscheck,true,zero_frequency|pure_component|experimental|historical_fallback_target,,,,,,,,v0.2,room_temperature,v0.2_primary_or_critical_compilation,reported,true,,,,,,,,,
XQQZRZQVBFHBHL-UHFFFAOYSA-N,C1COCCOCCOCCO1,"1,4,7,10-tetraoxacyclododecane",299.4,10.76,0.11,0.11,combined,95,"[{""confidence_level"":""95"",""kind"":""combined"",""value"":""0.11""}]",10.1021/je300234g,10.1021/je300234g,4,0,p1_thermoml_zero_frequency_pure_293.15_303.15K,false,zero_frequency|pure_component|experimental,,,,,,,,v0.2,room_temperature,v0.2_primary_or_critical_compilation,reported,true,,,,,,,,,
XTHFKEDIFFGKHM-UHFFFAOYSA-N,COCCOC,"1,2-dimethoxyethane",298.15,7.0695,0.1405,0.1405,combined,95,"[{""confidence_level"":""95"",""kind"":""combined"",""value"":""0.14""},{""confidence_level"":""95"",""kind"":""combined"",""value"":""0.141""}]",10.1016/j.jct.2008.09.006;10.1016/j.jct.2010.09.008,10.1016/j.jct.2008.09.006;10.1016/j.jct.2010.09.008;arXiv:1506.00262,2,5,p1_thermoml_zero_frequency_pure_293.15_303.15K;chodera_2015_historical_dielectric_crosscheck,true,zero_frequency|pure_component|experimental|historical_fallback_target,,,,,,,,v0.2,room_temperature,v0.2_primary_or_critical_compilation,reported,true,,,,,,,,,
YEJRWHAVMIAJKC-UHFFFAOYSA-N,O=C1CCCO1,.gamma.-butyrolactone,295.65,41.99,0.06,0.06,combined,95,"[{""confidence_level"":""95"",""kind"":""combined"",""value"":""0.06""}]",10.1021/je900503p,10.1021/je900503p;arXiv:1506.00262,4,4,p1_thermoml_zero_frequency_pure_293.15_303.15K;chodera_2015_historical_dielectric_crosscheck,true,zero_frequency|pure_component|experimental|historical_fallback_target,,,,,,,,v0.2,room_temperature,v0.2_primary_or_critical_compilation,reported,true,,,,,,,,,
YEYKMVJDLWJFOA-UHFFFAOYSA-N,CCCOCCO,2-propoxyethanol,298.15,11.5,0.04,0.04,combined,95,"[{""confidence_level"":""95"",""kind"":""combined"",""value"":""0.04""}]",10.1016/j.jct.2007.09.004,10.1016/j.jct.2007.09.004;arXiv:1506.00262,3,3,p1_thermoml_zero_frequency_pure_293.15_303.15K;chodera_2015_historical_dielectric_crosscheck,true,zero_frequency|pure_component|experimental|historical_fallback_target,,,,,,,,v0.2,room_temperature,v0.2_primary_or_critical_compilation,reported,true,,,,,,,,,
